t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,label
0,0.7333333333333333,0.4664184361831501,0.9809879281818182,1.0,0.6483516483516483,idealized-governed
1,0.6,0.38808476640828593,0.9809920484209452,1.0,0.6593406593406592,idealized-governed
2,0.7666666666666667,0.5207631020545327,0.9811478734360761,1.0,0.6923076923076923,idealized-governed
3,0.6,0.5629740947788622,0.981429935342461,1.0,0.956043956043956,idealized-governed
4,0.6333333333333333,0.4236550553973978,0.9818151962944788,1.0,0.6813186813186813,idealized-governed
5,0.6666666666666666,0.4870162607324682,0.9634452114490132,1.0,0.7582417582417583,idealized-governed
6,0.6,0.5530749251736983,0.9641727622759875,1.0,0.956043956043956,idealized-governed
7,0.7333333333333333,0.692189177754709,0.9651054419154013,1.0,0.978021978021978,idealized-governed
8,0.8333333333333334,0.6193563693777181,0.96619593622924,1.0,0.7692307692307693,idealized-governed
9,0.7666666666666667,0.6764741537118719,0.9674041066701989,1.0,0.9120879120879122,idealized-governed
10,0.5333333333333333,0.3787642712434575,0.9503919673663962,1.0,0.7472527472527473,idealized-governed
11,0.7,0.556780916265969,0.9523884094023155,1.0,0.8351648351648352,idealized-governed
12,0.6333333333333333,0.5779448960629548,0.9545006450404518,1.0,0.956043956043956,idealized-governed
13,0.6333333333333333,0.5925822619645118,0.9566821851940374,1.0,0.978021978021978,idealized-governed
14,0.5333333333333333,0.45520935505990257,0.9588900766308134,1.0,0.8901098901098901,idealized-governed
15,0.6333333333333333,0.5709834932904583,0.9430035914597406,1.0,0.956043956043956,idealized-governed
16,0.8,0.6902518306288331,0.9459776594461416,1.0,0.9120879120879122,idealized-governed
17,0.7666666666666667,0.6075908411525047,0.948926199282802,1.0,0.8351648351648352,idealized-governed
18,0.8333333333333334,0.7408805878789979,0.951813649369254,1.0,0.934065934065934,idealized-governed
19,0.8,0.5287141960481496,0.9546228539758257,1.0,0.6923076923076923,idealized-governed
20,0.8333333333333334,0.7138922882019866,0.9392414201404449,1.0,0.9120879120879122,idealized-governed
21,0.7,0.5800808896098646,0.94263144561603,1.0,0.8791208791208791,idealized-governed
22,0.6666666666666666,0.5682509796759343,0.9459299844605492,1.0,0.9010989010989011,idealized-governed
23,0.6333333333333333,0.31706316748953395,0.9491035605772232,1.0,0.5274725274725276,idealized-governed
24,0.7,0.6298783169747989,0.9521416419386496,1.0,0.945054945054945,idealized-governed
25,0.8,0.5682697797991506,0.9368215572775852,1.0,0.7582417582417583,idealized-governed
26,0.7666666666666667,0.6812561434604772,0.940257467971235,1.0,0.945054945054945,idealized-governed
27,0.7666666666666667,0.6280298186698878,0.9436001128061604,1.0,0.8681318681318682,idealized-governed
28,0.7333333333333333,0.6027781568634587,0.9468264489282177,1.0,0.8681318681318682,idealized-governed
29,0.9,0.7891748835875482,0.9499327302442708,1.0,0.9230769230769231,idealized-governed
30,0.7333333333333333,0.6394716130975848,0.9335601624365812,1.0,0.934065934065934,idealized-governed
31,0.6,0.41361724796897104,0.9362977503775214,1.0,0.7362637362637363,idealized-governed
32,0.6666666666666666,0.5642149663154636,0.9392114988056194,1.0,0.9010989010989011,idealized-governed
33,0.6666666666666666,0.4762893309931176,0.9422245460950804,1.0,0.7582417582417583,idealized-governed
34,0.6333333333333333,0.49341029848780565,0.9452702560503224,1.0,0.8241758241758241,idealized-governed
35,0.6666666666666666,0.5177765030727982,0.9299538509136442,1.0,0.8351648351648352,idealized-governed
36,0.7,0.617575710118447,0.9335446780860247,1.0,0.945054945054945,idealized-governed
37,0.6666666666666666,0.549240029457722,0.9371408002622382,1.0,0.8791208791208791,idealized-governed
38,0.6666666666666666,0.5237585541803531,0.9406979295476078,1.0,0.8351648351648352,idealized-governed
39,0.9,0.7843975865444356,0.9441822800997836,1.0,0.9230769230769231,idealized-governed
40,0.8,0.5142590055766197,0.9285232045133412,1.0,0.6923076923076923,idealized-governed
41,0.7666666666666667,0.6516307961879801,0.9318764136161265,1.0,0.9120879120879122,idealized-governed
42,0.7333333333333333,0.6482125243953821,0.9353172260039078,1.0,0.945054945054945,idealized-governed
43,0.8,0.48691959578037625,0.938764474915556,1.0,0.6483516483516483,idealized-governed
44,0.7,0.5798002718838074,0.9421754418111873,1.0,0.8791208791208791,idealized-governed
45,0.7333333333333333,0.5223807223742754,0.9260385532998519,1.0,0.7692307692307693,idealized-governed
46,0.7333333333333333,0.5465412156699627,0.9290520042210452,1.0,0.8021978021978021,idealized-governed
47,0.7666666666666667,0.5969255751787347,0.9322693479622114,1.0,0.8351648351648352,idealized-governed
48,0.9,0.7865240464629543,0.9356037676879587,1.0,0.934065934065934,idealized-governed
49,0.7333333333333333,0.348076408326323,0.9389808248328675,1.0,0.5054945054945055,idealized-governed
