idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.09400238406392568,0.1355461370067192,1241.0,50,0,3,12
1,idealist,0.5625676793709686,0.1,0.39108470745868207,0.4419771027327824,253.0,0,0,18,4
2,skeptic,0.15734472170192457,-0.12,0.2546730739706523,0.12795555812444592,259.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.05256361114846267,0.4560022020978793,604.0,50,27,18,8
4,strategist,0.4474798263743567,-0.05,0.122043410863963,0.08760344646872456,1183.0,50,0,6,13
5,opportunist,0.5819096962294243,-0.15,0.4666687903143423,0.09418280654519642,1534.0,50,0,4,15
6,pragmatist,0.4599046046341824,0.0,0.4190861810452049,0.4585337701904083,920.0,50,0,13,11
7,idealist,0.5201264013378069,0.1,0.12110613056751426,0.39629977637134556,756.0,50,45,22,11
8,skeptic,0.5053126176123748,-0.12,0.30616760987565017,0.2511886694258606,449.0,0,0,5,5
9,conformist,0.5817675451960909,0.0,0.09251111335206208,0.21158166427326056,322.0,0,0,11,4
10,strategist,0.4222706454682109,-0.05,0.1478605683394088,0.4418007620164272,613.0,0,0,10,7
11,opportunist,0.6333812008011045,-0.15,0.32682057768967965,0.4073180065320916,208.0,0,0,16,3
12,pragmatist,0.38575082667553395,0.0,0.19717996742676555,0.44839740351677415,546.0,0,0,11,6
13,idealist,0.5298463778330024,0.1,0.30481660965461177,0.4411254629280346,222.0,0,0,17,3
14,skeptic,0.5119098917393983,-0.12,0.5146231504511825,0.39521595002452325,568.0,0,0,8,6
15,conformist,0.7712471401305692,0.0,0.03903774754230768,0.45318568325573777,247.0,0,0,16,3
16,strategist,0.3731635906392694,-0.05,0.12793409076281834,0.2877706775545587,403.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.5193458439081338,0.12838182958390326,259.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.1239765284556208,0.3423092082323683,239.0,0,0,13,3
19,idealist,0.3263278176463141,0.1,0.3475889181737052,0.34055219661682196,348.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.5314731402457793,0.333413179667307,346.0,0,0,13,4
21,conformist,0.35017354390669586,0.0,0.13482419846000795,0.13215075501004372,297.0,0,0,6,3
22,strategist,0.46750287137110924,-0.05,0.28280328950935196,0.2508708135433282,344.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.3835393323162023,0.2557438613376282,262.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.2601368604233337,0.36966745695816794,246.0,0,0,10,3
25,idealist,0.49336790980349765,0.1,0.34469323387578105,0.6036080084660762,292.0,0,0,17,4
26,skeptic,0.23142662702165004,-0.12,0.4020493175464048,0.13402712296491534,433.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.004168322763498711,0.37592773255922013,291.0,0,0,8,3
28,strategist,0.40872866231599747,-0.05,0.47424119668515935,0.26234400521118545,224.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.4952417531887221,0.19188054739205257,285.0,0,0,4,3
