t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5,0.0,0.7833333333333333,0.0,0.8901098901098902,12.533333333333333,0.37039007092198584,0.3333333333333333,0.07193042742850096,0.6666666666666666,0.4722890207720961,0.14773722781803322,6,unconstrained,unconstrained-adversarial
1,0.43333333333333335,0.0,0.8083333333333333,0.0,0.8131868131868132,11.8,0.35649717514124296,0.3333333333333333,0.06445179085473816,0.5,0.46761433827944465,0.1422848059416116,6,unconstrained,unconstrained-adversarial
2,0.4,0.0,0.8083333333333333,0.0,0.8131868131868132,11.166666666666666,0.40587064676616913,0.3333333333333333,0.07193042742850096,0.5,0.4595006176859112,0.13519229575880048,6,unconstrained,unconstrained-adversarial
3,0.26666666666666666,0.0,0.8333333333333333,0.0,0.9120879120879121,8.966666666666667,0.4762081784386617,0.3333333333333333,0.07193042742850096,0.3333333333333333,0.4363605435636018,0.13404644609044725,6,unconstrained,unconstrained-adversarial
4,0.3333333333333333,0.0,0.8083333333333333,0.0,0.8791208791208791,10.866666666666667,0.35685071574642124,0.3333333333333333,0.06445179085473816,0.5,0.4239972783359696,0.142835227361466,6,unconstrained,unconstrained-adversarial
5,0.26666666666666666,0.0,0.8083333333333333,0.0,0.6483516483516484,10.2,0.35446623093681917,0.3333333333333333,0.06445179085473816,0.5,0.4051176049356533,0.14459680200868266,6,unconstrained,unconstrained-adversarial
6,0.3333333333333333,0.0,0.9,0.0,0.901098901098901,9.433333333333334,0.5138987043580683,0.0,0.0,0.6666666666666666,0.39650349234337484,0.16405926463838902,6,unconstrained,unconstrained-adversarial
7,0.23333333333333334,0.0,0.8666666666666667,0.0,0.8791208791208791,8.933333333333334,0.43582089552238806,0.16666666666666666,0.029914546295051248,0.5,0.37692307326216995,0.1639626998875116,6,unconstrained,unconstrained-adversarial
8,0.3333333333333333,0.0,0.8416666666666667,0.0,0.901098901098901,9.966666666666667,0.49108138238573024,0.16666666666666666,0.03453724455968691,0.6666666666666666,0.3716923044707095,0.17488951224536392,6,unconstrained,unconstrained-adversarial
9,0.3,0.0,0.8666666666666667,0.0,0.8351648351648351,9.233333333333333,0.4696750902527076,0.16666666666666666,0.03453724455968691,0.5,0.3630892279342245,0.1694818024157728,6,unconstrained,unconstrained-adversarial
