idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.1704373520768375,1246.0,50,0,5,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,276.0,0,0,18,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.12829081999590813,296.0,0,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.7174148557136566,592.0,50,50,20,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.12004430020906431,1157.0,50,41,9,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.06409437361009569,1609.0,50,0,5,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.4726561381457152,946.0,50,0,12,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.4026426010240901,776.0,50,50,22,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2796613657720925,444.0,0,0,8,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21538542678680506,337.0,0,0,10,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.44213602388788936,641.0,0,0,10,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.4546029475881383,223.0,0,0,17,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.44839740351677415,572.0,0,0,10,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.44603734633912,252.0,0,0,16,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.39521595002452325,596.0,0,0,6,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.46684366955096734,247.0,0,0,17,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.2877706775545587,423.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.12838182958390326,263.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.34631419349538733,265.0,0,0,12,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.34055219661682196,374.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.3372169421808515,364.0,0,0,14,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.13215075501004372,335.0,0,0,4,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,352.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,269.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.36966745695816794,252.0,0,0,10,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6038676352593366,322.0,0,0,14,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,446.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.37592773255922013,310.0,0,0,8,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.26234400521118545,227.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.19188054739205257,325.0,0,0,4,3
