label,governance,adversarial,topo,seed,n_agents,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,backlash_rate_final,rejection_rate,condition,compiler_model,agent_model,pair
governed-Llama-70B-DeepSeek-V3,governed,True,scale_free,42,30,0.29166666666666663,0.25047619047619046,1.0,1.0,0.8604395604395606,0.0,0.4166666666666667,governed,Llama-70B,DeepSeek-V3,Llama-70B->DeepSeek-V3
unconstrained-Llama-70B-DeepSeek-V3,unconstrained,True,scale_free,42,30,0.29166666666666663,0.0,1.0,0.0,0.8604395604395606,0.0,0.0,unconstrained,Llama-70B,DeepSeek-V3,Llama-70B->DeepSeek-V3
governed-Llama-70B-Qwen3-235B,governed,True,scale_free,42,30,0.26999999999999996,0.15834569597069598,0.6737499999999998,1.0,0.8736263736263735,0.6583333333333332,0.4166666666666667,governed,Llama-70B,Qwen3-235B,Llama-70B->Qwen3-235B
unconstrained-Llama-70B-Qwen3-235B,unconstrained,True,scale_free,42,30,0.26666666666666666,0.0,0.6541666666666666,0.0,0.8868131868131869,0.6916666666666667,0.0,unconstrained,Llama-70B,Qwen3-235B,Llama-70B->Qwen3-235B
governed-Llama-70B-Hermes-4-70B,governed,True,scale_free,42,30,0.2833333333333333,0.1436129426129426,0.6095833333333334,1.0,0.8417582417582418,0.5416666666666666,0.4166666666666667,governed,Llama-70B,Hermes-4-70B,Llama-70B->Hermes-4-70B
unconstrained-Llama-70B-Hermes-4-70B,unconstrained,True,scale_free,42,30,0.26999999999999996,0.0,0.5450000000000002,0.0,0.8494505494505494,0.7583333333333332,0.0,unconstrained,Llama-70B,Hermes-4-70B,Llama-70B->Hermes-4-70B
governed-DeepSeek-V3-Llama-70B,governed,True,scale_free,42,30,0.24833333333333335,0.20600961538461537,0.9812500000000002,1.0,0.858791208791209,0.12499999999999997,0.4166666666666667,governed,DeepSeek-V3,Llama-70B,DeepSeek-V3->Llama-70B
unconstrained-DeepSeek-V3-Llama-70B,unconstrained,True,scale_free,42,30,0.29166666666666663,0.0,1.0,0.0,0.8604395604395606,0.0,0.0,unconstrained,DeepSeek-V3,Llama-70B,DeepSeek-V3->Llama-70B
governed-Qwen3-235B-Llama-70B,governed,True,scale_free,42,30,0.2833333333333333,0.17965201465201464,0.76125,1.0,0.8379120879120879,0.5416666666666667,0.4166666666666667,governed,Qwen3-235B,Llama-70B,Qwen3-235B->Llama-70B
unconstrained-Qwen3-235B-Llama-70B,unconstrained,True,scale_free,42,30,0.26666666666666666,0.0,0.7775000000000001,0.0,0.8692307692307694,0.6666666666666666,0.0,unconstrained,Qwen3-235B,Llama-70B,Qwen3-235B->Llama-70B
