idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.20700332537227736,1083.0,10,0,9,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.28349987265515186,285.0,10,0,18,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.0472011334311355,288.0,10,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.16776582339136556,691.0,5,0,7,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.2492390467100366,1032.0,0,0,11,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.2992801259437369,1387.0,5,0,8,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.2134817719214699,989.0,15,0,10,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.3304411447337404,892.0,5,0,15,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.3406104436951921,442.0,0,0,8,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.3317826320941042,304.0,0,0,15,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.23898426417804172,666.0,5,0,3,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.2983456161289285,261.0,10,0,9,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.29093827408344425,535.0,15,0,9,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.5449404167018078,192.0,15,0,18,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.18680017777735303,509.0,10,0,10,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.5489729303771639,239.0,25,0,21,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.13305313568172114,423.0,10,0,8,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.25023770859910505,244.0,25,0,10,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.1625409011628219,250.0,0,0,10,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.22406085414907503,262.0,10,0,10,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.16101539359455147,400.0,15,0,4,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.2655442295996125,284.0,15,0,10,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.13200094132982856,340.0,5,0,7,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.20893251518899433,216.0,20,0,10,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.3490864200607966,218.0,5,0,15,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.5809971204993717,303.0,15,0,18,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.12221032105713095,416.0,10,0,4,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.3225384202336664,236.0,10,0,9,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.14695413317346803,220.0,5,0,8,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.09919660189500253,285.0,15,0,2,3
