idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.41562513412528435,1105.0,20,8,12,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.3099120095977457,319.0,10,9,15,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.011735151080509798,338.0,5,0,0,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.34179183095560334,729.0,15,15,12,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.10099131892720734,1176.0,15,11,7,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.24472052515054155,1447.0,20,5,11,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.347274950664338,989.0,25,0,9,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.7648043276186566,832.0,20,20,17,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.22635979696475822,495.0,0,0,6,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.4658349697369654,360.0,0,0,13,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.21243406272798354,685.0,0,0,8,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.3077276336399959,268.0,5,0,8,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.08661375158729707,603.0,5,5,7,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.6372980705533069,254.0,15,15,20,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.23695646099663328,574.0,10,0,8,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.5168628325487261,277.0,20,19,18,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.11759449904225297,444.0,5,1,6,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.18684921777863883,294.0,20,3,8,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.4268199085295474,301.0,0,0,10,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.1785412944306865,347.0,5,5,6,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.26915166214863173,404.0,10,0,11,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.3332522609810855,366.0,10,10,5,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2955586786533049,327.0,5,2,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.33121892280255355,298.0,15,3,10,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.2557694365138234,273.0,5,0,11,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.8022465036154067,327.0,10,10,13,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.011894808905575111,474.0,10,0,1,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.3317631974901842,267.0,10,10,13,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.1205377352241757,226.0,0,0,6,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.23897574642371927,292.0,10,0,4,3
