t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,HUBS,FEAR,0.95,BURST,MISLEADING,0.63,Max short-term cooperation.,6,unconstrained,0
5,HUBS,FEAR,0.95,BURST,MISLEADING,0.63,Max short-term cooperation.,6,unconstrained,0
10,HUBS,FEAR,0.95,BURST,MISLEADING,0.5599999999999999,Max short-term cooperation.,6,unconstrained,0
15,HUBS,FEAR,0.95,BURST,MISLEADING,0.5599999999999999,Max short-term cooperation.,6,unconstrained,0
20,BRIDGES,IDENTITY,0.92,BURST,EXAGGERATED,0.5599999999999999,Identity-based rapid adoption.,6,unconstrained,0
25,HUBS,FEAR,0.95,BURST,MISLEADING,0.63,Max short-term cooperation.,6,unconstrained,0
30,HUBS,FEAR,0.95,BURST,MISLEADING,0.5599999999999999,Max short-term cooperation.,6,unconstrained,0
35,HUBS,FEAR,0.95,BURST,MISLEADING,0.63,Max short-term cooperation.,6,unconstrained,0
40,HUBS,FEAR,0.95,BURST,MISLEADING,0.5599999999999999,Max short-term cooperation.,6,unconstrained,0
45,HUBS,FEAR,0.95,BURST,MISLEADING,0.5599999999999999,Max short-term cooperation.,6,unconstrained,0
