idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.7561378682077774,0.0,0.0,0.44247777607106553,1169.0,50,43,22,16
1,idealist,0.5127148270088668,0.1,0.21483455908081053,0.4206455022439698,343.0,0,0,14,5
2,skeptic,0.3821026061834331,-0.12,0.46766042553653514,0.08814514441671367,822.0,50,1,4,8
3,conformist,0.14700208062791237,0.0,0.11521014335337157,0.030172971215184786,223.0,0,0,2,2
4,strategist,0.32021803855875874,-0.05,0.7984499274967324,0.12947242251297336,1197.0,50,0,5,12
5,opportunist,0.4838679919841883,-0.15,0.3471053808487607,0.057302549052740744,1745.0,50,14,5,18
6,pragmatist,0.40780688727729747,0.0,0.19979304808365747,0.11573610552661706,630.0,50,38,8,7
7,idealist,0.2917274173192318,0.1,0.24137985341480178,0.12812182080014578,535.0,0,0,9,6
8,skeptic,0.5222918082760178,-0.12,0.464216959013995,0.12226206501645774,551.0,0,0,12,6
9,conformist,0.5936638054439646,0.0,0.12002968064001299,0.33182578735064644,280.0,0,0,15,3
10,strategist,0.4536389347614997,-0.05,0.5318731276819217,0.10336568991263259,704.0,50,39,10,8
11,opportunist,0.5317658284031467,-0.15,0.32421568965789727,0.2553700308268686,397.0,0,0,9,5
12,pragmatist,0.4225741538103398,0.0,0.3810787697632203,0.21152946491365016,456.0,0,0,8,4
13,idealist,0.7402632051148279,0.1,0.25955695089871295,0.645482280167289,351.0,0,0,18,5
14,skeptic,0.41346619813813434,-0.12,0.6503470401913537,0.1582529098104192,266.0,0,0,9,3
15,conformist,0.31703100852591193,0.0,0.10624196513402037,0.15402274750389047,469.0,0,0,7,5
16,strategist,0.5823808451184725,-0.05,0.38705250242863487,0.19882889272094875,392.0,0,0,9,4
17,opportunist,0.46372750549235286,-0.15,0.5005156532242719,0.1859534022084272,528.0,0,0,8,6
18,pragmatist,0.1,0.0,0.45319602262501196,0.008834692740568799,231.0,0,0,4,3
19,idealist,0.30605328602877874,0.1,0.04970702360160457,0.20803457475316364,292.0,0,0,14,3
20,skeptic,0.49146686392815,-0.12,0.6050817328024085,0.198254748264912,287.0,0,0,10,4
21,conformist,0.3832848816475824,0.0,0.0,0.14951892133089748,195.0,0,0,12,3
22,strategist,0.45391872503010505,-0.05,0.2920879037635681,0.2437544151799938,265.0,0,0,11,3
23,opportunist,0.6608397249027139,-0.15,0.5121111981219025,0.189099479010806,402.0,0,0,10,5
24,pragmatist,0.47907234693969303,0.0,0.4667449807835988,0.2370565858242075,211.0,0,0,14,3
25,idealist,0.41917154251413113,0.1,0.16111506395274477,0.4540434943190147,256.0,0,0,16,3
26,skeptic,0.5376087466537872,-0.12,0.5873807627983535,0.3870120717751957,287.0,0,0,16,3
27,conformist,0.41777566333097166,0.0,0.03257871330540507,0.10655171116717489,271.0,0,0,9,3
28,strategist,0.4843730857819894,-0.05,0.0,0.27591880341182573,205.0,0,0,13,3
29,opportunist,0.5535187155244218,-0.15,0.47370523911174867,0.19438198647815003,208.0,0,0,8,3
