label,governance,adversarial,topo,seed,n_agents,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,backlash_rate_final,rejection_rate,condition
governed-s0,governed,True,scale_free,0,30,0.27666666666666667,0.17535482804232802,0.7570833333333333,1.0,0.8273809523809523,0.4916666666666666,0.35,governed
naive-s0,naive,True,scale_free,0,30,0.27166666666666667,0.18037037037037035,0.7787499999999999,1.0,0.8345238095238097,0.4833333333333333,0.35,naive
unconstrained-s0,unconstrained,True,scale_free,0,30,0.255,0.0,0.8474999999999999,0.0,0.855952380952381,0.6083333333333333,0.0,unconstrained
governed-s1,governed,True,scale_free,1,30,0.3183333333333333,0.17713888888888887,0.6879166666666666,1.0,0.8083333333333332,0.17499999999999996,0.36666666666666664,governed
naive-s1,naive,True,scale_free,1,30,0.31166666666666665,0.18622415123456787,0.7295833333333334,1.0,0.8222222222222222,0.325,0.36666666666666664,naive
unconstrained-s1,unconstrained,True,scale_free,1,30,0.3083333333333333,0.0,0.8195833333333333,0.0,0.7520833333333332,0.5416666666666665,0.0,unconstrained
governed-s2,governed,True,scale_free,2,30,0.28500000000000003,0.16012962962962965,0.6812500000000001,1.0,0.8305555555555555,0.14166666666666666,0.35,governed
naive-s2,naive,True,scale_free,2,30,0.27666666666666667,0.159116512345679,0.74,1.0,0.788888888888889,0.3916666666666667,0.35,naive
unconstrained-s2,unconstrained,True,scale_free,2,30,0.2566666666666667,0.010057098765432098,0.8666666666666666,0.05,0.7861111111111111,0.6166666666666667,0.0,unconstrained
governed-s3,governed,True,scale_free,3,30,0.215,0.13748254985754987,0.7866666666666667,1.0,0.8179487179487179,0.5083333333333333,0.35,governed
naive-s3,naive,True,scale_free,3,30,0.21333333333333332,0.1493415242165242,0.8325000000000001,1.0,0.8365384615384615,0.7083333333333334,0.35,naive
unconstrained-s3,unconstrained,True,scale_free,3,30,0.20833333333333334,0.043923717948717945,0.8654166666666667,0.3,0.8198717948717948,0.8,0.0,unconstrained
governed-s4,governed,True,scale_free,4,30,0.27999999999999997,0.1660915404040404,0.7095833333333333,1.0,0.8397727272727271,0.22499999999999995,0.43333333333333335,governed
naive-s4,naive,True,scale_free,4,30,0.2699999999999999,0.160744476010101,0.70625,1.0,0.8477272727272727,0.20833333333333331,0.43333333333333335,naive
unconstrained-s4,unconstrained,True,scale_free,4,30,0.25666666666666665,0.0,0.8099999999999999,0.0,0.8670454545454545,0.45,0.0,unconstrained
