t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,HUBS,HYBRID,0.7999999999999999,PERIODIC,FACTUAL,0.9,Slight intensity increase.,6,naive,2
5,HUBS,HYBRID,0.7999999999999999,PERIODIC,FACTUAL,0.9,Slight intensity increase.,6,naive,2
10,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,2
15,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,3
20,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,2
25,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,1
30,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,2
35,BRIDGES,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,3
40,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,3
45,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,naive,2
