t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.4,0.19138888888888891,0.65,1.0,0.7361111111111112,12.1,0.3512396694214876,1.0,0.13866916140912908,0.0,0.44995692060764036,0.12977586120812945,6,naive,naive-s1
1,0.4666666666666667,0.2864814814814815,0.65,1.0,0.9444444444444444,12.3,0.36612466124661247,1.0,0.11094562779624136,0.0,0.45196209013472344,0.13664981601851944,6,naive,naive-s1
2,0.36666666666666664,0.06263888888888887,0.6833333333333332,1.0,0.25,11.433333333333334,0.3487852283770651,0.8333333333333334,0.11266598979783156,0.16666666666666666,0.44172663931855666,0.1283539288317336,6,naive,naive-s1
3,0.4,0.17694444444444446,0.65,1.0,0.6805555555555556,9.7,0.49518900343642613,1.0,0.1115169308520521,0.0,0.4367194426003299,0.11746733439309735,6,naive,naive-s1
4,0.4,0.2581481481481481,0.6833333333333332,1.0,0.9444444444444444,10.666666666666666,0.43375,0.8333333333333334,0.09692834371884683,0.16666666666666666,0.43231310948829027,0.12437588527259182,6,naive,naive-s1
5,0.36666666666666664,0.24452932098765431,0.7166666666666667,1.0,0.9305555555555556,11.3,0.3542772861356932,0.6666666666666666,0.08983036800748902,0.3333333333333333,0.42443553634969544,0.12328276080407491,6,naive,naive-s1
6,0.43333333333333335,0.2587962962962963,0.7166666666666667,1.0,0.8333333333333333,12.066666666666666,0.314548802946593,0.6666666666666666,0.0843647002949751,0.3333333333333333,0.425503271987732,0.13091150734781593,6,naive,naive-s1
7,0.23333333333333334,0.08361111111111111,0.7166666666666667,1.0,0.5,9.433333333333334,0.38409893992932864,0.6666666666666666,0.08983036800748902,0.3333333333333333,0.40244287934920414,0.13420517626899534,6,naive,naive-s1
8,0.26666666666666666,0.13537037037037036,0.7166666666666667,1.0,0.7083333333333333,10.233333333333333,0.28957654723127035,0.6666666666666666,0.08983036800748902,0.3333333333333333,0.3861497338272997,0.1379289944784017,6,naive,naive-s1
9,0.23333333333333334,0.1207716049382716,0.7166666666666667,1.0,0.7222222222222222,9.133333333333333,0.3997566909975669,0.6666666666666666,0.08983036800748902,0.3333333333333333,0.3678117657680237,0.1470509293905745,6,naive,naive-s1
10,0.23333333333333334,0.16257716049382714,0.7166666666666667,1.0,0.9722222222222222,8.566666666666666,0.4265888456549935,0.6666666666666666,0.08983036800748902,0.3333333333333333,0.3516743538758609,0.154932956280653,6,naive,naive-s1
11,0.3,0.18125,0.75,1.0,0.8055555555555556,9.1,0.5058608058608058,0.5,0.08004809152824065,0.5,0.3454734314107577,0.15190693215282183,6,naive,naive-s1
12,0.26666666666666666,0.14444444444444446,0.75,1.0,0.7222222222222222,10.433333333333334,0.2895633652822151,0.5,0.0909794269532685,0.5,0.3360166196414666,0.13975991449993405,6,naive,naive-s1
13,0.3333333333333333,0.20833333333333331,0.75,1.0,0.8333333333333333,10.033333333333333,0.43754152823920267,0.5,0.08004809152824065,0.5,0.33569462528449073,0.1525456743143363,6,naive,naive-s1
