t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.4,0.05277272727272728,0.7166666666666667,0.2,0.9204545454545454,11.2,0.3902777777777778,0.6666666666666666,0.11151765725474651,0.3333333333333333,0.4114722969474126,0.1674721660598945,6,unconstrained,unconstrained-s4
1,0.26666666666666666,0.02681818181818182,0.75,0.2,0.6704545454545454,8.666666666666666,0.4894871794871795,0.5,0.09355787635100367,0.5,0.39409562131372305,0.1644113805102554,6,unconstrained,unconstrained-s4
2,0.4,0.03136363636363637,0.75,0.2,0.5227272727272727,11.9,0.2581699346405229,0.5,0.10045542028027198,0.5,0.3948041467560763,0.1646392802632248,6,unconstrained,unconstrained-s4
3,0.4,0.05727272727272729,0.75,0.2,0.9545454545454546,10.933333333333334,0.3955284552845528,0.5,0.10045542028027198,0.5,0.39542764914534717,0.16515369581552583,6,unconstrained,unconstrained-s4
4,0.23333333333333334,0.02823863636363636,0.75,0.2,0.8068181818181819,10.0,0.42733333333333334,0.5,0.10045542028027198,0.5,0.37597633124790547,0.1712385777416969,6,unconstrained,unconstrained-s4
5,0.13333333333333333,0.0,0.9166666666666666,0.0,0.8409090909090909,8.366666666666667,0.36746347941567065,0.16666666666666666,0.025046993230215073,0.16666666666666666,0.34685917149815687,0.16889669666555013,6,unconstrained,unconstrained-s4
6,0.26666666666666666,0.0,0.8083333333333333,0.0,0.6818181818181819,10.366666666666667,0.37717041800643086,0.3333333333333333,0.05263716894728828,0.5,0.33723607091837793,0.1688058773800236,6,unconstrained,unconstrained-s4
7,0.2,0.0,0.8083333333333333,0.0,0.8181818181818181,7.833333333333333,0.47900709219858156,0.3333333333333333,0.05263716894728828,0.5,0.32076774240817263,0.15955218286493017,6,unconstrained,unconstrained-s4
8,0.2,0.0,0.8916666666666666,0.0,0.8068181818181819,8.8,0.3573232323232323,0.16666666666666666,0.025046993230215073,0.3333333333333333,0.30627561331919195,0.15436865729247218,6,unconstrained,unconstrained-s4
9,0.3,0.0,0.8916666666666666,0.0,0.8522727272727273,9.333333333333334,0.49642857142857144,0.16666666666666666,0.025046993230215073,0.3333333333333333,0.30552253972088894,0.1452093883659929,6,unconstrained,unconstrained-s4
10,0.26666666666666666,0.0,0.7749999999999999,0.0,0.9318181818181819,9.9,0.4153759820426487,0.5,0.0853737348702606,0.3333333333333333,0.30085983495438223,0.1544244151317308,6,unconstrained,unconstrained-s4
11,0.23333333333333334,0.0,0.7749999999999999,0.0,0.9772727272727273,9.1,0.4365079365079365,0.5,0.09355787635100367,0.3333333333333333,0.2927566547598563,0.16629294724719473,6,unconstrained,unconstrained-s4
12,0.36666666666666664,0.0,0.7749999999999999,0.0,0.8863636363636364,9.933333333333334,0.4626398210290828,0.5,0.07157864701172399,0.3333333333333333,0.30162585618867355,0.18260928018418052,6,unconstrained,unconstrained-s4
13,0.2,0.0,0.8083333333333333,0.0,0.7159090909090909,9.233333333333333,0.32647412755716004,0.3333333333333333,0.05263716894728828,0.5,0.2894307534460328,0.16984507671666882,6,unconstrained,unconstrained-s4
14,0.2,0.0,0.7749999999999999,0.0,0.8068181818181819,9.5,0.37883040935672513,0.5,0.0853737348702606,0.3333333333333333,0.27869906303250885,0.15990813940945137,6,unconstrained,unconstrained-s4
15,0.26666666666666666,0.0,0.75,0.0,0.6818181818181819,10.266666666666667,0.35974025974025975,0.5,0.0853737348702606,0.5,0.2772551754686078,0.16180223885667028,6,unconstrained,unconstrained-s4
16,0.36666666666666664,0.0,0.75,0.0,0.9204545454545454,10.533333333333333,0.39767932489451474,0.5,0.0853737348702606,0.5,0.2879845544123748,0.16520616182532208,6,unconstrained,unconstrained-s4
17,0.3,0.0,0.8333333333333333,0.0,0.6704545454545454,9.1,0.39206349206349206,0.3333333333333333,0.06596770063393047,0.3333333333333333,0.2894264078828899,0.16006411526731715,6,unconstrained,unconstrained-s4
18,0.06666666666666667,0.0,0.7749999999999999,0.0,1.0,6.3,0.37054673721340387,0.5,0.0853737348702606,0.3333333333333333,0.26269523893694313,0.13659688082704807,6,unconstrained,unconstrained-s4
19,0.26666666666666666,0.0,0.75,0.0,0.8409090909090909,9.666666666666666,0.4747126436781609,0.5,0.030193383436114187,0.5,0.26317181026450986,0.13837311982159534,6,unconstrained,unconstrained-s4
