t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5,0.24285714285714285,0.65,1.0,0.7472527472527473,13.233333333333333,0.31276238455079763,1.0,0.14978712164344501,0.0,0.42828902077209613,0.1445022593001661,6,governed,sa_base_prosocial_0.4
1,0.43333333333333335,0.2073809523809524,0.65,1.0,0.7362637362637363,11.9,0.3661064425770308,1.0,0.11511433577117325,0.0,0.4288943382794446,0.14626177292172818,6,governed,sa_base_prosocial_0.4
2,0.4,0.1742857142857143,0.65,1.0,0.6703296703296704,11.5,0.3141062801932367,1.0,0.1222476492373072,0.0,0.42542701768591124,0.1401638526605454,6,governed,sa_base_prosocial_0.4
3,0.26666666666666666,0.1580952380952381,0.65,1.0,0.9120879120879121,8.966666666666667,0.4762081784386617,1.0,0.1222476492373072,0.0,0.4063757755636017,0.13278149912284462,6,governed,sa_base_prosocial_0.4
4,0.36666666666666664,0.17547619047619048,0.65,1.0,0.7362637362637363,11.966666666666667,0.3406685236768802,1.0,0.1222476492373072,0.0,0.4016106824959696,0.1402763295075754,6,governed,sa_base_prosocial_0.4
5,0.26666666666666666,0.11814407814407814,0.6833333333333332,1.0,0.6483516483516484,10.2,0.35446623093681917,0.8333333333333334,0.09689077746094933,0.16666666666666666,0.3854174005964533,0.14677345081289866,6,governed,sa_base_prosocial_0.4
6,0.3333333333333333,0.2052503052503052,0.6833333333333332,1.0,0.901098901098901,9.433333333333334,0.5138987043580683,0.8333333333333334,0.10384161434003027,0.16666666666666666,0.3791673125248789,0.16167013212232417,6,governed,sa_base_prosocial_0.4
7,0.2,0.13366300366300365,0.6833333333333332,1.0,0.978021978021978,8.366666666666667,0.4641434262948207,0.8333333333333334,0.10418693744765913,0.16666666666666666,0.35766723502189346,0.1601796090919072,6,governed,sa_base_prosocial_0.4
8,0.3333333333333333,0.21526251526251522,0.7166666666666667,1.0,0.901098901098901,9.966666666666667,0.49108138238573024,0.6666666666666666,0.09999633084636948,0.3333333333333333,0.35474716681926616,0.17125324786896204,6,governed,sa_base_prosocial_0.4
9,0.3333333333333333,0.22277167277167273,0.6833333333333332,1.0,0.978021978021978,9.833333333333334,0.4378531073446328,0.8333333333333334,0.11132025091379309,0.16666666666666666,0.3521775068009543,0.16866593372244595,6,governed,sa_base_prosocial_0.4
10,0.16666666666666666,0.10637973137973136,0.6833333333333332,1.0,0.9340659340659341,8.1,0.3834019204389575,0.8333333333333334,0.11982349145541082,0.16666666666666666,0.3299162059848397,0.16996860048804768,6,governed,sa_base_prosocial_0.4
11,0.36666666666666664,0.18447496947496944,0.6833333333333332,1.0,0.7362637362637363,10.766666666666667,0.32291021671826625,0.8333333333333334,0.10159993314518691,0.16666666666666666,0.33432626126665893,0.1780473984625423,6,governed,sa_base_prosocial_0.4
12,0.36666666666666664,0.2136874236874237,0.7166666666666667,1.0,0.8131868131868132,11.133333333333333,0.33532934131736525,0.6666666666666666,0.09251769427260668,0.3333333333333333,0.3382071099146599,0.17998697126567323,6,governed,sa_base_prosocial_0.4
13,0.16666666666666666,0.10238095238095238,0.65,1.0,0.945054945054945,8.266666666666667,0.3978494623655914,1.0,0.12190232612967834,0.0,0.3176222567249007,0.17425136772233354,6,governed,sa_base_prosocial_0.4
14,0.16666666666666666,0.08557692307692308,0.7416666666666667,1.0,0.6923076923076923,7.133333333333334,0.4657320872274143,0.6666666666666666,0.0760093861454954,0.16666666666666666,0.2995075859179126,0.17234829209627198,6,governed,sa_base_prosocial_0.4
15,0.1,0.060714285714285714,0.65,1.0,0.9340659340659341,7.4,0.44264264264264264,1.0,0.09441542104277233,0.0,0.27556667560776316,0.1509457579532735,6,governed,sa_base_prosocial_0.4
16,0.1,0.06064102564102564,0.7166666666666667,1.0,0.8461538461538461,6.4,0.45555555555555555,0.6666666666666666,0.07848474256367242,0.3333333333333333,0.25449867453483155,0.14577398480343995,6,governed,sa_base_prosocial_0.4
17,0.2,0.10512820512820512,0.6833333333333332,1.0,0.7692307692307692,7.5,0.5171851851851852,0.8333333333333334,0.089808662631096,0.16666666666666666,0.24795883359065177,0.1324289213420921,6,governed,sa_base_prosocial_0.4
18,0.36666666666666664,0.2599908424908425,0.7416666666666667,1.0,0.9560439560439561,10.933333333333334,0.3823170731707317,0.6666666666666666,0.08485794979474198,0.16666666666666666,0.26220377355977353,0.1456117335550198,6,governed,sa_base_prosocial_0.4
19,0.36666666666666664,0.1964285714285714,0.65,1.0,0.8241758241758241,9.933333333333334,0.4400447427293065,1.0,0.11287265457632989,0.0,0.27473932073260077,0.1467782245526534,6,governed,sa_base_prosocial_0.4
20,0.4666666666666667,0.21025641025641026,0.6833333333333332,1.0,0.6593406593406594,12.1,0.3808080808080808,0.8333333333333334,0.10442061267099277,0.16666666666666666,0.29777060224468854,0.15322004911194773,6,governed,sa_base_prosocial_0.4
21,0.3333333333333333,0.17384004884004883,0.7083333333333333,1.0,0.7362637362637363,10.633333333333333,0.3821316614420063,0.8333333333333334,0.12264417098121667,0.0,0.30203812997532603,0.1706094247106757,6,governed,sa_base_prosocial_0.4
22,0.26666666666666666,0.10095238095238096,0.65,1.0,0.5824175824175825,10.866666666666667,0.34826175869120657,1.0,0.10844837275170659,0.0,0.2977935543782868,0.1600720972013683,6,governed,sa_base_prosocial_0.4
23,0.26666666666666666,0.1449084249084249,0.7166666666666667,1.0,0.7582417582417582,8.7,0.5194125159642401,0.6666666666666666,0.09022481444148268,0.3333333333333333,0.29405832785289243,0.15252028076383503,6,governed,sa_base_prosocial_0.4
24,0.3,0.1757142857142857,0.65,1.0,0.901098901098901,9.333333333333334,0.42142857142857143,1.0,0.10154873450890628,0.0,0.2947713285105454,0.15977832701513842,6,governed,sa_base_prosocial_0.4
25,0.3333333333333333,0.2635225885225885,0.8083333333333333,1.0,0.978021978021978,9.8,0.42766439909297055,0.3333333333333333,0.06445179085473816,0.5,0.2993987690892799,0.17007289735960526,6,governed,sa_base_prosocial_0.4
26,0.16666666666666666,0.0945054945054945,0.7166666666666667,1.0,0.7912087912087913,8.266666666666667,0.4172043010752688,0.6666666666666666,0.08325434749592457,0.3333333333333333,0.2834709167985663,0.16022326759301592,6,governed,sa_base_prosocial_0.4
27,0.26666666666666666,0.10612942612942612,0.6833333333333332,1.0,0.5824175824175825,10.366666666666667,0.3055734190782422,0.8333333333333334,0.11120860302949787,0.16666666666666666,0.28145440678273836,0.1693102465153547,6,governed,sa_base_prosocial_0.4
28,0.3,0.11939560439560438,0.6833333333333332,1.0,0.5824175824175825,11.733333333333333,0.2725378787878788,0.8333333333333334,0.11178760136046038,0.16666666666666666,0.2836798779688098,0.17656862149274619,6,governed,sa_base_prosocial_0.4
29,0.2,0.12877289377289378,0.7416666666666667,1.0,0.8681318681318682,8.833333333333334,0.38528301886792454,0.6666666666666666,0.11816080859152994,0.16666666666666666,0.2736382926125526,0.17611344691527353,6,governed,sa_base_prosocial_0.4
