idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.6957075619631647,0.0,0.14400238406392565,0.8902833435844589,1318.0,50,47,0,12
1,idealist,0.7625676793709686,0.1,0.44108470745868206,0.8975955362228721,424.0,0,0,8,4
2,skeptic,0.35734472170192455,-0.12,0.3046730739706523,0.24674750663180695,494.0,0,0,1,3
3,conformist,0.6691760604750928,0.0,0.10256361114846266,0.8396306797593815,759.0,50,50,12,8
4,strategist,0.6474798263743567,-0.05,0.172043410863963,0.5332022116122713,1393.0,50,49,9,13
5,opportunist,0.7819096962294243,-0.15,0.5166687903143422,0.4661222652761751,1932.0,50,40,1,15
6,pragmatist,0.6599046046341824,0.0,0.4690861810452049,0.8260827432538796,1239.0,50,40,4,11
7,idealist,0.7201264013378068,0.1,0.17110613056751425,0.7106032534571943,995.0,50,50,4,11
8,skeptic,0.7053126176123748,-0.12,0.35616760987565016,0.5524016617878603,571.0,0,0,3,5
9,conformist,0.7817675451960909,0.0,0.14251111335206204,0.5137785103911308,503.0,0,0,6,4
10,strategist,0.622270645468211,-0.05,0.1978605683394088,0.7658761863284029,854.0,0,0,2,7
11,opportunist,0.8333812008011046,-0.15,0.3768205776896797,0.5319265853848709,364.0,0,0,11,3
12,pragmatist,0.5857508266755339,0.0,0.24717996742676554,0.6469492064477828,750.0,0,0,4,6
13,idealist,0.7298463778330023,0.1,0.35481660965461176,0.6778211247263235,388.0,0,0,12,3
14,skeptic,0.7119098917393982,-0.12,0.5646231504511824,0.4030289867747507,811.0,0,0,2,6
15,conformist,0.85,0.0,0.08903774754230767,0.5948625501360112,362.0,0,0,8,3
16,strategist,0.5731635906392695,-0.05,0.17793409076281833,0.3783730270332817,598.0,0,0,5,5
17,opportunist,0.7423969133863244,-0.15,0.5693458439081337,0.5896322396615943,341.0,0,0,11,3
18,pragmatist,0.6329078813517688,0.0,0.17397652845562078,0.6295132905781443,429.0,0,0,6,3
19,idealist,0.5263278176463141,0.1,0.3975889181737052,0.4542616651321561,502.0,0,0,3,3
20,skeptic,0.7614881256805164,-0.12,0.5814731402457792,0.5611525211944971,512.0,0,0,4,4
21,conformist,0.5501735439066959,0.0,0.18482419846000794,0.4419306876284151,505.0,0,0,1,3
22,strategist,0.6675028713711093,-0.05,0.33280328950935195,0.36929037569319983,435.0,0,0,9,4
23,opportunist,0.7807143166922285,-0.15,0.43353933231620234,0.4538476725496592,384.0,0,0,7,3
24,pragmatist,0.7518370344607842,0.0,0.3101368604233337,0.525018622885987,366.0,0,0,9,3
25,idealist,0.6933679098034976,0.1,0.39469323387578104,0.667200609792646,511.0,0,0,4,4
26,skeptic,0.4314266270216501,-0.12,0.4520493175464048,0.23493762491491438,551.0,0,0,5,4
27,conformist,0.5794441018560808,0.0,0.0541683227634987,0.5089973702307907,378.0,0,0,11,3
28,strategist,0.6087286623159974,-0.05,0.5242411966851593,0.6256390631128761,301.0,0,0,13,3
29,opportunist,0.5201253326460136,-0.15,0.5452417531887221,0.2457283006859089,456.0,0,0,3,3
