idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.36505879538949054,1148.0,50,43,10,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,329.0,0,0,15,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.12829081999590813,374.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.7598430606555598,632.0,50,50,18,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.2999617735115853,1156.0,50,45,10,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.12975326765352263,1615.0,50,22,5,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.5834673929935392,953.0,50,40,14,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.4026426010240901,858.0,50,50,20,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2796613657720925,474.0,0,0,7,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21230358270809577,373.0,0,0,8,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.46256834627082666,689.0,0,0,8,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.41755777115250087,268.0,0,0,14,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.44839740351677415,607.0,0,0,9,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.5609448815757028,302.0,0,0,13,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.39521595002452325,607.0,0,0,5,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.4674027231869038,257.0,0,0,17,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.2877706775545587,457.0,0,0,5,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.14203981587913303,281.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.34631419349538733,328.0,0,0,9,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.34055219661682196,388.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.29061920601912816,396.0,0,0,10,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.1441697829498458,394.0,0,0,4,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,352.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,291.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.37122196187184026,285.0,0,0,9,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6052355995833684,374.0,0,0,14,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,465.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.37592773255922013,317.0,0,0,7,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.26234400521118545,242.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.19188054739205257,352.0,0,0,4,3
