idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.3315276111900907,1142.0,50,37,15,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.2762705054672275,334.0,0,0,16,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.1363704457832606,352.0,0,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.5252162706577856,661.0,50,49,19,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.390604715658937,1075.0,50,50,17,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.1318430339696723,1630.0,50,15,7,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.27657478113686473,1035.0,50,39,12,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.5866035451674665,882.0,50,49,21,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.09763928876551072,453.0,0,0,5,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.3019661928251662,354.0,0,0,12,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.23046334156580414,709.0,50,45,6,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.31096641966635613,263.0,0,0,15,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.32723769427230004,589.0,50,35,14,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.5081850151209043,272.0,0,0,17,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.09969472144217348,578.0,50,0,8,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.7519715916576246,252.0,0,0,19,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.05408593833726524,452.0,0,0,7,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.09835565637866708,271.0,0,0,9,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.41395419510914705,301.0,0,0,13,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.2941926257756527,352.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.3440678300066789,405.0,0,0,11,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.3465387526538835,380.0,0,0,7,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.26852556139567657,323.0,0,0,11,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.3359442912865478,271.0,0,0,10,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.4851343814285941,226.0,0,0,18,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.31847890241569204,370.0,0,0,13,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.06577281177136815,456.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.12414167919563869,297.0,0,0,7,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.1701542868576479,222.0,0,0,12,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.1320793324837073,365.0,0,0,6,3
