t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5666666666666667,0.22261904761904766,0.65,1.0,0.6043956043956045,14.1,0.28092986603624903,1.0,0.14978712164344501,0.0,0.48028902077209606,0.14766754336989582,6,governed,governed-T0.8
1,0.5,0.2178571428571429,0.65,1.0,0.6703296703296704,12.533333333333333,0.33351063829787236,1.0,0.13783300460877826,0.0,0.4826543382794446,0.14593131219278294,6,governed,governed-T0.8
2,0.43333333333333335,0.20575396825396824,0.7083333333333333,1.0,0.6703296703296704,11.833333333333334,0.33943661971830985,0.8333333333333334,0.12706845280583998,0.0,0.47673581768591117,0.140135227710636,6,governed,governed-T0.8
3,0.43333333333333335,0.16714285714285715,0.65,1.0,0.5934065934065934,12.2,0.3524590163934426,1.0,0.11919329448816769,0.0,0.4715275195636018,0.13518327534561939,6,governed,governed-T0.8
4,0.36666666666666664,0.17547619047619048,0.65,1.0,0.7362637362637363,11.966666666666667,0.3406685236768802,1.0,0.1266719310619305,0.0,0.4589442172159696,0.14531159576205444,6,governed,governed-T0.8
5,0.3,0.09857142857142857,0.65,1.0,0.5054945054945055,11.133333333333333,0.32375249500998005,1.0,0.1147690126635444,0.0,0.4398709111500533,0.16008047137451104,6,governed,governed-T0.8
6,0.4,0.24857142857142858,0.65,1.0,0.9560439560439561,10.8,0.4477366255144033,1.0,0.10763569919741045,0.0,0.4350864018120469,0.17156290399995763,6,governed,governed-T0.8
7,0.3,0.15857142857142859,0.65,1.0,0.8131868131868132,10.033333333333333,0.39700996677740863,1.0,0.10763569919741045,0.0,0.41887603359460124,0.18172943998432184,6,governed,governed-T0.8
8,0.36666666666666664,0.22785714285714284,0.65,1.0,0.9560439560439561,11.0,0.38747474747474747,1.0,0.10763569919741045,0.0,0.4126109095632492,0.18197306683212716,6,governed,governed-T0.8
9,0.36666666666666664,0.23309523809523808,0.65,1.0,0.978021978021978,10.233333333333333,0.46395222584147666,1.0,0.10763569919741045,0.0,0.40709760041565934,0.18555448661809207,6,governed,governed-T0.8
10,0.23333333333333334,0.15000000000000002,0.65,1.0,0.989010989010989,8.666666666666666,0.41820512820512823,1.0,0.12190232612967834,0.0,0.38624588836578005,0.1805592886500641,6,governed,governed-T0.8
11,0.4,0.22227106227106225,0.6833333333333332,1.0,0.8131868131868132,11.0,0.3529292929292929,0.8333333333333334,0.11821988915659339,0.16666666666666666,0.3878963817618864,0.1859240971570459,6,governed,governed-T0.8
12,0.4,0.2432967032967033,0.6833333333333332,1.0,0.8901098901098902,11.366666666666667,0.34750733137829914,0.8333333333333334,0.11269017798927687,0.16666666666666666,0.38934881595046006,0.1871173679883633,6,governed,governed-T0.8
13,0.26666666666666666,0.1523809523809524,0.65,1.0,0.8791208791208791,10.066666666666666,0.3218543046357616,1.0,0.11287265457632989,0.0,0.37462695803640483,0.1777090013084102,6,governed,governed-T0.8
14,0.23333333333333334,0.13316239316239312,0.6833333333333332,1.0,0.8351648351648351,8.433333333333334,0.44334650856389984,0.8333333333333334,0.12730212802917365,0.16666666666666666,0.3576717230720364,0.1765364509976761,6,governed,governed-T0.8
15,0.13333333333333333,0.08571428571428572,0.65,1.0,0.989010989010989,7.7,0.48152958152958153,1.0,0.11310632979966355,0.0,0.330751116303392,0.15858608535331692,6,governed,governed-T0.8
16,0.2,0.11857142857142858,0.65,1.0,0.9120879120879121,8.333333333333334,0.4570666666666667,1.0,0.10291866158439006,0.0,0.31506098234698493,0.15279572828534838,6,governed,governed-T0.8
17,0.3,0.17120879120879115,0.6833333333333332,1.0,0.8351648351648351,9.233333333333333,0.4963898916967509,0.8333333333333334,0.08290902438829571,0.16666666666666666,0.3132536644653467,0.14954898940650943,6,governed,governed-T0.8
18,0.3333333333333333,0.21776556776556774,0.6833333333333332,1.0,0.9560439560439561,10.6,0.36436058700209645,0.8333333333333334,0.10884489449561607,0.16666666666666666,0.3156632247295051,0.1633777278986862,6,governed,governed-T0.8
19,0.4,0.22527472527472525,0.6833333333333332,1.0,0.8241758241758241,10.366666666666667,0.4569131832797428,0.8333333333333334,0.10136625792185326,0.16666666666666666,0.3257836377619645,0.1571072258588893,6,governed,governed-T0.8
20,0.5,0.25155677655677655,0.6833333333333332,1.0,0.7362637362637363,12.266666666666667,0.3907608695652174,0.8333333333333334,0.0972872992048588,0.16666666666666666,0.3466896012305288,0.16190733466403634,6,governed,governed-T0.8
21,0.3333333333333333,0.1677045177045177,0.6833333333333332,1.0,0.7362637362637363,10.633333333333333,0.3821316614420063,0.8333333333333334,0.11092372916988362,0.16666666666666666,0.34508684908286535,0.1777040637963198,6,governed,governed-T0.8
22,0.26666666666666666,0.10095238095238096,0.65,1.0,0.5824175824175825,10.866666666666667,0.34826175869120657,1.0,0.10154873450890628,0.0,0.33567642719292146,0.1683036782501479,6,governed,governed-T0.8
23,0.23333333333333334,0.1029059829059829,0.7166666666666667,1.0,0.6153846153846154,7.7,0.5692640692640693,0.6666666666666666,0.08309150097534873,0.3333333333333333,0.32339525592977086,0.16047526515901916,6,governed,governed-T0.8
24,0.3,0.2027472527472527,0.75,1.0,0.901098901098901,9.333333333333334,0.42142857142857143,0.5,0.0715851043208721,0.5,0.3205878252181985,0.16456057326461812,6,governed,governed-T0.8
25,0.4,0.2613186813186813,0.6833333333333332,1.0,0.9560439560439561,10.933333333333334,0.38943089430894307,0.8333333333333334,0.12448144850336774,0.16666666666666666,0.33011728619201464,0.17259884987810103,6,governed,governed-T0.8
26,0.23333333333333334,0.13166666666666668,0.65,1.0,0.8681318681318682,8.9,0.45555555555555555,1.0,0.12850920858408157,0.0,0.3185032118489728,0.16257955034962498,6,governed,governed-T0.8
27,0.3,0.11357142857142859,0.65,1.0,0.5824175824175825,10.7,0.31557632398753893,1.0,0.1309845650022586,0.0,0.3162828264270961,0.16393006272817864,6,governed,governed-T0.8
28,0.3,0.11357142857142859,0.65,1.0,0.5824175824175825,11.733333333333333,0.2725378787878788,1.0,0.14536283981882173,0.0,0.31432888725584457,0.1706878463201551,6,governed,governed-T0.8
29,0.3,0.1757142857142857,0.65,1.0,0.901098901098901,9.6,0.4599537037037037,1.0,0.12408492675945827,0.0,0.31260942078514325,0.17916914727554462,6,governed,governed-T0.8
30,0.23333333333333334,0.1559401709401709,0.6833333333333332,1.0,0.978021978021978,9.266666666666667,0.4503597122302158,0.8333333333333334,0.11326917632023936,0.16666666666666666,0.3030962902909261,0.17018416661334668,6,governed,governed-T0.8
31,0.3,0.189010989010989,0.7166666666666667,1.0,0.8791208791208791,10.3,0.3824163969795038,0.6666666666666666,0.09946989983463873,0.3333333333333333,0.3027247354560149,0.1518791593707705,6,governed,governed-T0.8
32,0.23333333333333334,0.14348290598290597,0.7083333333333333,1.0,0.8681318681318682,9.633333333333333,0.43333333333333335,0.8333333333333334,0.10884489449561607,0.0,0.29439776720129324,0.161447317175277,6,governed,governed-T0.8
33,0.36666666666666664,0.23678876678876676,0.7166666666666667,1.0,0.901098901098901,10.666666666666666,0.4658333333333333,0.6666666666666666,0.1066032133007727,0.3333333333333333,0.3030700351371379,0.1503667487110456,6,governed,governed-T0.8
34,0.26666666666666666,0.12571428571428572,0.65,1.0,0.7252747252747254,10.366666666666667,0.37009646302250804,1.0,0.11287265457632989,0.0,0.29870163092068136,0.15318206688347683,6,governed,governed-T0.8
35,0.2,0.10395604395604398,0.7166666666666667,1.0,0.7252747252747254,8.733333333333333,0.38727735368956745,0.6666666666666666,0.08596337913743522,0.3333333333333333,0.28685743521019963,0.14916738704330726,6,governed,governed-T0.8
36,0.2,0.10395604395604398,0.7166666666666667,1.0,0.7252747252747254,9.733333333333333,0.32123287671232875,0.6666666666666666,0.07848474256367242,0.3333333333333333,0.27643454298497566,0.1473447786180278,6,governed,governed-T0.8
