idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.5018376288097179,0.0,0.4232427215251737,0.3476361317917394,561.0,50,44,11,7
1,idealist,0.4995655614275081,0.1,0.10452641525934586,0.32904443744724465,385.0,0,0,10,4
2,skeptic,0.5858033800009677,-0.12,0.5669561858546017,0.25692234487904064,162.0,0,0,12,2
3,conformist,0.36945701469595726,0.0,0.23716771562945296,0.11043787023169549,161.0,0,0,6,2
4,strategist,0.5046858594279113,-0.05,0.34411987449832887,0.3075730655031303,482.0,0,0,12,6
5,opportunist,0.4542633361973695,-0.15,0.48200694799186705,0.14803195321988202,517.0,0,0,8,5
6,pragmatist,0.33953188694974995,0.0,0.27556350780104205,0.23171260216627254,239.0,0,0,8,3
7,idealist,0.37768210309800326,0.1,0.38982693189519413,0.1452953776992193,202.0,0,0,12,3
8,skeptic,0.45595831612224885,-0.12,0.45613148735523673,0.352845222919881,213.0,0,0,6,2
9,conformist,0.3327137306464737,0.0,0.11142116390716941,0.29122234730144464,477.0,0,0,6,5
10,strategist,0.45122132707775153,-0.05,0.25865956420509445,0.1968165582594875,578.0,0,0,8,6
11,opportunist,0.6441095721597311,-0.15,0.5510086472958692,0.2882038940544817,532.0,50,14,10,7
12,pragmatist,0.1,0.0,0.01664801310484909,0.07586962953135504,177.0,0,0,1,2
13,idealist,0.4237841861917257,0.1,0.23667143826354695,0.4397105295956679,86.0,0,0,14,1
14,skeptic,0.48204644962479165,-0.12,0.5325982896533845,0.0831790301297632,705.0,50,0,5,7
15,conformist,0.7676758132576572,0.0,0.0,0.46767723068635036,316.0,0,0,21,4
16,strategist,0.3933592489309503,-0.05,0.6064157411238495,0.2717612533728212,219.0,0,0,10,3
17,opportunist,0.5470054494302771,-0.15,0.4994595058564393,0.2678270571881282,341.0,0,0,11,3
18,pragmatist,0.3728990442468806,0.0,0.05278872437165209,0.276400933968768,547.0,50,40,10,7
19,idealist,0.47511971163341116,0.1,0.31635211317323214,0.2823426751197524,312.0,0,0,13,4
20,skeptic,0.2658971918633139,-0.12,0.3975160007329157,0.2912357789991475,484.0,0,0,4,5
21,conformist,0.4391934480409159,0.0,0.008287256540883386,0.4576810369346547,603.0,50,49,17,7
22,strategist,0.4352595048221674,-0.05,0.31432245412041815,0.18870385519603816,399.0,0,0,7,5
23,opportunist,0.45533793555832286,-0.15,0.32405625125285276,0.07757236234052187,528.0,0,0,6,6
24,pragmatist,0.5390622107678734,0.0,0.4336750431423492,0.5565481070585254,80.0,0,0,20,1
25,idealist,0.49812724568498457,0.1,0.17726546589145395,0.4640715818119458,295.0,0,0,18,4
26,skeptic,0.5597478425678162,-0.12,0.42478399722994215,0.2638211880163683,311.0,0,0,9,4
27,conformist,0.5818740927431978,0.0,0.0,0.20052349338765252,467.0,0,0,8,5
28,strategist,0.5871700804693172,-0.05,0.29699048180767795,0.3987646792214303,562.0,0,0,11,6
29,opportunist,0.2626876664498377,-0.15,0.3529150792049728,0.049481193779472986,618.0,50,3,1,6
