t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.3333333333333333,0.2362433862433862,0.7833333333333333,1.0,0.9047619047619048,9.5,0.4104093567251462,0.3333333333333333,0.05817148162302377,0.6666666666666666,0.4206423009573684,0.15360826084364737,6,governed,governed-scale_free-s0
1,0.26666666666666666,0.19894179894179892,0.7833333333333333,1.0,0.9523809523809523,9.633333333333333,0.37220299884659747,0.3333333333333333,0.05817148162302377,0.6666666666666666,0.4021652248424841,0.15396829447812865,6,governed,governed-scale_free-s0
2,0.43333333333333335,0.26670634920634917,0.7833333333333333,1.0,0.7857142857142857,11.966666666666667,0.31764159702878364,0.3333333333333333,0.05817148162302377,0.6666666666666666,0.40590539786138613,0.1651104291653849,6,governed,governed-scale_free-s0
3,0.36666666666666664,0.28038359788359785,0.7833333333333333,1.0,0.9761904761904762,10.533333333333333,0.45759493670886076,0.3333333333333333,0.05817148162302377,0.6666666666666666,0.4011967501180197,0.1666073831984941,6,governed,governed-scale_free-s0
4,0.23333333333333334,0.17962962962962964,0.8083333333333333,1.0,0.9523809523809523,9.233333333333333,0.42876052948255117,0.3333333333333333,0.05817148162302377,0.5,0.3810531401038574,0.15294236854222,6,governed,governed-scale_free-s0
5,0.26666666666666666,0.14603174603174604,0.7666666666666667,1.0,0.7142857142857143,10.133333333333333,0.4021929824561403,0.6666666666666666,0.08111521738618209,0.0,0.36732676329139446,0.15311199320829436,6,governed,governed-scale_free-s0
6,0.36666666666666664,0.19621031746031742,0.7749999999999999,1.0,0.6904761904761905,11.533333333333333,0.3369942196531792,0.5,0.07616687486036615,0.3333333333333333,0.3672475516964271,0.16217647473194488,6,governed,governed-scale_free-s0
7,0.36666666666666664,0.2793650793650793,0.7999999999999999,1.0,0.9523809523809523,10.166666666666666,0.41300546448087433,0.5,0.08216533927281361,0.16666666666666666,0.3671778454928558,0.15478346568030155,6,governed,governed-scale_free-s0
8,0.23333333333333334,0.15111111111111108,0.7999999999999999,1.0,0.8095238095238095,8.633333333333333,0.39858429858429856,0.5,0.07616687486036615,0.16666666666666666,0.35111650403371325,0.14515548813504636,6,governed,governed-scale_free-s0
9,0.3333333333333333,0.2337301587301587,0.7749999999999999,1.0,0.9047619047619048,9.8,0.3564625850340136,0.5,0.07616687486036615,0.3333333333333333,0.3489825235496676,0.14529116623168814,6,governed,governed-scale_free-s0
10,0.26666666666666666,0.12857142857142856,0.75,1.0,0.6428571428571428,8.033333333333333,0.5356846473029045,0.5,0.07016841044791869,0.5,0.3391046207237075,0.15191059756287834,6,governed,governed-scale_free-s0
11,0.16666666666666666,0.11011904761904762,0.75,1.0,0.8809523809523809,8.533333333333333,0.3203125,0.5,0.06416994603547123,0.5,0.3184120662368626,0.14339559764358079,6,governed,governed-scale_free-s0
12,0.3,0.20357142857142854,0.75,1.0,0.9047619047619048,9.4,0.4437352245862884,0.5,0.07016841044791869,0.5,0.31620261828843904,0.14931948190394398,6,governed,governed-scale_free-s0
13,0.26666666666666666,0.19047619047619047,0.75,1.0,0.9523809523809523,9.0,0.4074074074074074,0.5,0.07016841044791869,0.5,0.3102583040938264,0.15011723152385292,6,governed,governed-scale_free-s0
