t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.3333333333333333,0.19948240165631467,0.6833333333333332,1.0,0.8757763975155279,11.833333333333334,0.23953051643192488,0.8333333333333334,0.1144215675329351,0.16666666666666666,0.44195692060764036,0.13640826661103495,6,governed,governed-small_world-s1
1,0.3,0.13242236024844717,0.6833333333333332,1.0,0.6459627329192547,11.266666666666667,0.2552268244575937,0.8333333333333334,0.10510472794064252,0.16666666666666666,0.42492209013472354,0.1467267945812336,6,governed,governed-small_world-s1
2,0.36666666666666664,0.17741200828157344,0.6833333333333332,1.0,0.7080745341614907,11.333333333333334,0.3433333333333333,0.8333333333333334,0.09578788834834996,0.16666666666666666,0.41793143931855675,0.14220144933391607,6,governed,governed-small_world-s1
3,0.4,0.2631469979296066,0.6833333333333332,1.0,0.9627329192546584,12.333333333333334,0.267027027027027,0.8333333333333334,0.09906775717231787,0.16666666666666666,0.4157796666003299,0.1467609510164715,6,governed,governed-small_world-s1
4,0.36666666666666664,0.24322981366459623,0.7416666666666667,1.0,0.8944099378881987,11.633333333333333,0.3284622731614136,0.6666666666666666,0.09526512146873876,0.16666666666666666,0.4098861066082904,0.14707242346919921,6,governed,governed-small_world-s1
5,0.23333333333333334,0.14855072463768113,0.6833333333333332,1.0,0.9316770186335404,9.866666666666667,0.27297297297297296,0.8333333333333334,0.08013829627211154,0.16666666666666666,0.38869977381529547,0.1509701778031614,6,governed,governed-small_world-s1
6,0.3333333333333333,0.23186680469289167,0.7416666666666667,1.0,0.937888198757764,11.4,0.3405458089668616,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.38205580095746006,0.16633662411937372,6,governed,governed-small_world-s1
7,0.16666666666666666,0.11977225672877848,0.7416666666666667,1.0,0.968944099378882,8.833333333333334,0.3259119496855346,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.35620910484256485,0.14907388776749445,6,governed,governed-small_world-s1
8,0.23333333333333334,0.16304347826086954,0.75,1.0,0.9316770186335404,9.733333333333333,0.32808219178082193,0.5,0.06929501484983001,0.5,0.341464012261457,0.1469969610648812,6,governed,governed-small_world-s1
9,0.23333333333333334,0.14855072463768113,0.6833333333333332,1.0,0.9316770186335404,10.066666666666666,0.27350993377483446,0.8333333333333334,0.08013829627211154,0.16666666666666666,0.3284883307900823,0.14803295219155127,6,governed,governed-small_world-s1
10,0.3333333333333333,0.07831262939958593,0.7416666666666667,1.0,0.31677018633540377,11.933333333333334,0.2661080074487896,0.6666666666666666,0.10130209223706342,0.16666666666666666,0.32906973109527243,0.14998026945856538,6,governed,governed-small_world-s1
11,0.36666666666666664,0.19259489302967564,0.7166666666666667,1.0,0.7329192546583851,12.1,0.23388429752066114,0.6666666666666666,0.09526512146873876,0.3333333333333333,0.3335813633638397,0.15515153331995282,6,governed,governed-small_world-s1
12,0.3,0.10226708074534162,0.7416666666666667,1.0,0.45962732919254656,11.066666666666666,0.26104417670682734,0.6666666666666666,0.10130209223706342,0.16666666666666666,0.3295515997601789,0.1635808272817213,6,governed,governed-small_world-s1
13,0.26666666666666666,0.20803312629399584,0.7999999999999999,1.0,0.9751552795031055,10.433333333333334,0.27678381256656015,0.5,0.07715420916376482,0.16666666666666666,0.3220054077889574,0.16183862588348535,6,governed,governed-small_world-s1
14,0.16666666666666666,0.08913043478260868,0.6833333333333332,1.0,0.782608695652174,8.6,0.3,0.8333333333333334,0.1018248591166746,0.16666666666666666,0.3033647588542825,0.14990794322426748,6,governed,governed-small_world-s1
15,0.16666666666666666,0.10543478260869565,0.8083333333333333,1.0,0.782608695652174,8.4,0.25343915343915346,0.3333333333333333,0.06273527720189416,0.5,0.28696098779176865,0.1310715022332189,6,governed,governed-small_world-s1
16,0.3,0.15664596273291925,0.8083333333333333,1.0,0.6459627329192547,11.2,0.28313492063492063,0.3333333333333333,0.06273527720189416,0.5,0.28852566925675643,0.12745827084896827,6,governed,governed-small_world-s1
17,0.23333333333333334,0.16635265700483093,0.8083333333333333,1.0,0.8819875776397516,10.0,0.32511111111111113,0.3333333333333333,0.06273527720189416,0.5,0.2819025889459456,0.12927129153221883,6,governed,governed-small_world-s1
18,0.43333333333333335,0.22191511387163562,0.8083333333333333,1.0,0.6335403726708074,13.2,0.24983164983164982,0.3333333333333333,0.06273527720189416,0.5,0.3000742782724321,0.14528926293429992,6,governed,governed-small_world-s1
19,0.3,0.1927950310559006,0.8083333333333333,1.0,0.7950310559006211,10.533333333333333,0.2569620253164557,0.3333333333333333,0.06273527720189416,0.5,0.30006536487974034,0.14047526416949532,6,governed,governed-small_world-s1
20,0.16666666666666666,0.08138371290545204,0.7416666666666667,1.0,0.6583850931677019,9.266666666666667,0.24412470023980815,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.28405752109417143,0.14412178691411853,6,governed,governed-small_world-s1
21,0.23333333333333334,0.15579710144927536,0.7166666666666667,1.0,0.9316770186335404,10.1,0.33828382838283827,0.6666666666666666,0.0735785586241757,0.3333333333333333,0.2779706185628709,0.1479877990112576,6,governed,governed-small_world-s1
22,0.23333333333333334,0.1246376811594203,0.7166666666666667,1.0,0.7453416149068324,9.733333333333333,0.3057077625570776,0.6666666666666666,0.0735785586241757,0.3333333333333333,0.27261414433532644,0.1509374165134661,6,governed,governed-small_world-s1
23,0.4,0.2406832298136646,0.7749999999999999,1.0,0.7763975155279503,12.266666666666667,0.28043478260869564,0.5,0.06877224797021882,0.3333333333333333,0.28790044701508716,0.1606302661565977,6,governed,governed-small_world-s1
24,0.26666666666666666,0.19286404416839198,0.7416666666666667,1.0,0.9751552795031055,10.533333333333333,0.2843881856540084,0.6666666666666666,0.07961552939250034,0.16666666666666666,0.2853523933732767,0.1573060264409535,6,governed,governed-small_world-s1
25,0.13333333333333333,0.08279503105590062,0.7749999999999999,1.0,0.8012422360248448,8.533333333333333,0.2518229166666667,0.5,0.06877224797021882,0.3333333333333333,0.2671101061684836,0.15789194966789719,6,governed,governed-small_world-s1
26,0.3333333333333333,0.2527087646652864,0.8083333333333333,1.0,0.937888198757764,11.333333333333334,0.28784313725490196,0.3333333333333333,0.06273527720189416,0.5,0.27505689342826556,0.16784827614110318,6,governed,governed-small_world-s1
27,0.43333333333333335,0.28283298826777087,0.8083333333333333,1.0,0.8074534161490683,12.5,0.2808,0.3333333333333333,0.06273527720189416,0.5,0.29405006621687363,0.16871206625009774,6,governed,governed-small_world-s1
28,0.2,0.1480745341614907,0.7999999999999999,1.0,0.9254658385093167,9.366666666666667,0.3085409252669039,0.5,0.06877224797021882,0.16666666666666666,0.28276405827084883,0.15689769718509428,6,governed,governed-small_world-s1
29,0.36666666666666664,0.20827122153209107,0.7749999999999999,1.0,0.7329192546583851,11.966666666666667,0.2669452181987001,0.5,0.06754158785585106,0.3333333333333333,0.29283237127834705,0.15636347188445515,6,governed,governed-small_world-s1
30,0.4666666666666667,0.2343236714975846,0.7416666666666667,1.0,0.6770186335403727,13.366666666666667,0.2308395677472984,0.6666666666666666,0.08442184004645724,0.16666666666666666,0.3136924867249454,0.16957427604463457,6,governed,governed-small_world-s1
31,0.26666666666666666,0.16024844720496895,0.7166666666666667,1.0,0.8385093167701863,10.266666666666667,0.3106060606060606,0.6666666666666666,0.08922815070041412,0.3333333333333333,0.30804938831795187,0.16469443162635414,6,governed,governed-small_world-s1
32,0.3,0.21835403726708075,0.7416666666666667,1.0,0.9813664596273292,11.133333333333333,0.27984031936127746,0.6666666666666666,0.08442184004645724,0.16666666666666666,0.30708346171979767,0.1621293200701067,6,governed,governed-small_world-s1
33,0.26666666666666666,0.16583850931677016,0.7416666666666667,1.0,0.8385093167701863,10.433333333333334,0.33003194888178916,0.6666666666666666,0.08922815070041412,0.16666666666666666,0.302233446313422,0.15745438612681734,6,governed,governed-small_world-s1
34,0.16666666666666666,0.07864044168391994,0.7166666666666667,1.0,0.6583850931677019,8.933333333333334,0.21194029850746268,0.6666666666666666,0.08922815070041412,0.3333333333333333,0.28596543275581127,0.14390213042328484,6,governed,governed-small_world-s1
35,0.3333333333333333,0.24228778467908899,0.7749999999999999,1.0,0.937888198757764,11.233333333333333,0.2754698318496538,0.5,0.06877224797021882,0.3333333333333333,0.291649580825114,0.1424060521776143,6,governed,governed-small_world-s1
36,0.3,0.21835403726708075,0.7416666666666667,1.0,0.9813664596273292,10.966666666666667,0.29736575481256333,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.2926516311261002,0.14931477755965583,6,governed,governed-small_world-s1
37,0.36666666666666664,0.14188405797101447,0.7416666666666667,1.0,0.5217391304347826,11.433333333333334,0.2784256559766764,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.30153343539096833,0.15133740076908983,6,governed,governed-small_world-s1
38,0.4,0.25244306418219464,0.7416666666666667,1.0,0.8509316770186335,12.4,0.24229390681003585,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.313349423144052,0.14690168903769948,6,governed,governed-small_world-s1
39,0.26666666666666666,0.1289855072463768,0.7416666666666667,1.0,0.6521739130434783,10.1,0.34092409240924093,0.6666666666666666,0.0735785586241757,0.16666666666666666,0.3077474923667658,0.14245501076390352,6,governed,governed-small_world-s1
40,0.16666666666666666,0.1044168391994479,0.7416666666666667,1.0,0.84472049689441,9.066666666666666,0.2916666666666667,0.6666666666666666,0.07961552939250034,0.16666666666666666,0.2908177932827539,0.14490904074343974,6,governed,governed-small_world-s1
41,0.3,0.18518633540372673,0.7416666666666667,1.0,0.8322981366459627,11.066666666666666,0.22228915662650603,0.6666666666666666,0.07838486927813258,0.16666666666666666,0.2919196580888235,0.13393131030358535,6,governed,governed-small_world-s1
42,0.23333333333333334,0.147487922705314,0.7166666666666667,1.0,0.8819875776397516,9.933333333333334,0.3257270693512304,0.6666666666666666,0.07961552939250034,0.3333333333333333,0.2848892991181646,0.13171557121437316,6,governed,governed-small_world-s1
43,0.4,0.25527950310559006,0.75,1.0,0.8509316770186335,12.3,0.2985546522131888,0.5,0.07480921873854346,0.5,0.29870258322398485,0.12644227461934487,6,governed,governed-small_world-s1
44,0.43333333333333335,0.26349896480331264,0.7416666666666667,1.0,0.8198757763975155,12.833333333333334,0.2883982683982684,0.6666666666666666,0.08442184004645724,0.16666666666666666,0.3148582732371067,0.14100980305932842,6,governed,governed-small_world-s1
45,0.3333333333333333,0.21651138716356108,0.7416666666666667,1.0,0.8757763975155279,11.766666666666667,0.2933899905571294,0.6666666666666666,0.08922815070041412,0.16666666666666666,0.31707528044865385,0.14182015379114019,6,governed,governed-small_world-s1
46,0.23333333333333334,0.12898550724637683,0.7416666666666667,1.0,0.7453416149068324,10.3,0.25728155339805825,0.6666666666666666,0.0904588108147819,0.16666666666666666,0.3070262467948155,0.15497585503842926,6,governed,governed-small_world-s1
47,0.26666666666666666,0.19286404416839198,0.7416666666666667,1.0,0.9751552795031055,10.366666666666667,0.2509110396570204,0.6666666666666666,0.08442184004645724,0.16666666666666666,0.3021830971794375,0.14585499980921435,6,governed,governed-small_world-s1
48,0.36666666666666664,0.18606625258799173,0.7166666666666667,1.0,0.7080745341614907,11.966666666666667,0.3116991643454039,0.6666666666666666,0.08442184004645724,0.3333333333333333,0.3099211255179051,0.1443123081103905,6,governed,governed-small_world-s1
49,0.3333333333333333,0.18580055210489993,0.7416666666666667,1.0,0.7515527950310559,11.1,0.35265265265265267,0.6666666666666666,0.07961552939250034,0.16666666666666666,0.31273059045575646,0.12735143368577398,6,governed,governed-small_world-s1
