label,governance,adversarial,topo,seed,n_agents,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,backlash_rate_final,rejection_rate,condition
governed-scale_free-s0,governed,True,scale_free,0,30,0.27666666666666667,0.17535482804232802,0.7570833333333333,1.0,0.8273809523809523,0.4916666666666666,0.35,governed
governed-scale_free-s1,governed,True,scale_free,1,30,0.3183333333333333,0.17713888888888887,0.6879166666666666,1.0,0.8083333333333332,0.17499999999999996,0.36666666666666664,governed
governed-scale_free-s2,governed,True,scale_free,2,30,0.28500000000000003,0.16012962962962965,0.6812500000000001,1.0,0.8305555555555555,0.14166666666666666,0.35,governed
unconstrained-scale_free-s0,unconstrained,True,scale_free,0,30,0.255,0.0,0.8474999999999999,0.0,0.855952380952381,0.6083333333333333,0.0,unconstrained
unconstrained-scale_free-s1,unconstrained,True,scale_free,1,30,0.3083333333333333,0.0,0.8195833333333333,0.0,0.7520833333333332,0.5416666666666665,0.0,unconstrained
unconstrained-scale_free-s2,unconstrained,True,scale_free,2,30,0.2566666666666667,0.010057098765432098,0.8666666666666666,0.05,0.7861111111111111,0.6166666666666667,0.0,unconstrained
governed-small_world-s0,governed,True,small_world,0,30,0.27666666666666667,0.16525666666666666,0.72375,1.0,0.8160000000000001,0.32499999999999996,0.35,governed
governed-small_world-s1,governed,True,small_world,1,30,0.30999999999999994,0.18537284334023468,0.73875,1.0,0.8111801242236025,0.225,0.36666666666666664,governed
governed-small_world-s2,governed,True,small_world,2,30,0.25666666666666665,0.16791444444444442,0.7458333333333333,1.0,0.8879999999999999,0.45,0.35,governed
unconstrained-small_world-s0,unconstrained,True,small_world,0,30,0.26666666666666666,0.0,0.8066666666666666,0.0,0.8160000000000001,0.3166666666666666,0.0,unconstrained
unconstrained-small_world-s1,unconstrained,True,small_world,1,30,0.29833333333333334,0.0,0.8054166666666667,0.0,0.8326086956521739,0.6166666666666665,0.0,unconstrained
unconstrained-small_world-s2,unconstrained,True,small_world,2,30,0.26999999999999996,0.009056,0.8654166666666667,0.05,0.7919999999999999,0.625,0.0,unconstrained
governed-erdos_renyi-s0,governed,True,erdos_renyi,0,30,0.27666666666666667,0.17189374999999998,0.7375,1.0,0.8387499999999999,0.29166666666666663,0.35,governed
governed-erdos_renyi-s1,governed,True,erdos_renyi,1,30,0.265,0.16074444444444444,0.7662500000000001,1.0,0.8100000000000002,0.5083333333333333,0.36666666666666664,governed
governed-erdos_renyi-s2,governed,True,erdos_renyi,2,30,0.29166666666666663,0.15761419753086417,0.7304166666666667,1.0,0.763888888888889,0.29999999999999993,0.35,governed
unconstrained-erdos_renyi-s0,unconstrained,True,erdos_renyi,0,30,0.2666666666666667,0.0,0.8670833333333332,0.0,0.83375,0.3416666666666666,0.0,unconstrained
unconstrained-erdos_renyi-s1,unconstrained,True,erdos_renyi,1,30,0.27166666666666667,0.0,0.8729166666666666,0.0,0.825,0.6333333333333332,0.0,unconstrained
unconstrained-erdos_renyi-s2,unconstrained,True,erdos_renyi,2,30,0.2516666666666666,0.009806172839506173,0.86,0.05,0.7833333333333334,0.4666666666666666,0.0,unconstrained
