t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.4,0.048000000000000015,0.75,0.2,0.8,8.933333333333334,0.341044776119403,0.5,0.013305139730355992,0.5,0.4499569206076404,0.13443551674519083,6,unconstrained,unconstrained-erdos_renyi-s1
1,0.26666666666666666,0.0408,0.85,0.2,0.9,7.7,0.37445887445887444,0.0,0.0,1.0,0.4279620901347236,0.1444309615911912,6,unconstrained,unconstrained-erdos_renyi-s1
2,0.5666666666666667,0.05779999999999999,0.85,0.2,0.6,10.866666666666667,0.37995910020449897,0.0,0.0,1.0,0.4446066393185567,0.1559264763818484,6,unconstrained,unconstrained-erdos_renyi-s1
3,0.43333333333333335,0.04246666666666668,0.8166666666666667,0.2,0.6000000000000001,9.466666666666667,0.35563380281690143,0.16666666666666666,0.0037415946058677574,0.8333333333333334,0.4432538426003298,0.16635619263528023,6,unconstrained,unconstrained-erdos_renyi-s1
4,0.43333333333333335,0.03538888888888889,0.8166666666666667,0.2,0.5,8.866666666666667,0.38822055137844613,0.16666666666666666,0.0037415946058677574,0.8333333333333334,0.4420633814882903,0.15665713879288296,6,unconstrained,unconstrained-erdos_renyi-s1
5,0.4,0.0,0.8666666666666667,0.0,0.7,9.133333333333333,0.39927007299270073,0.16666666666666666,0.04132136431079653,0.5,0.4370157757096954,0.15496590938062021,6,unconstrained,unconstrained-erdos_renyi-s1
6,0.36666666666666664,0.0,0.8416666666666667,0.0,0.8999999999999999,8.8,0.373989898989899,0.16666666666666666,0.04132136431079653,0.6666666666666666,0.428573882624532,0.1415091111473647,6,unconstrained,unconstrained-erdos_renyi-s1
7,0.2,0.0,0.925,0.0,1.0,6.866666666666666,0.41326860841423946,0.0,0.0,0.5,0.4011450167095882,0.1316695566724807,6,unconstrained,unconstrained-erdos_renyi-s1
8,0.2,0.0,0.9,0.0,0.9,7.466666666666667,0.41875,0.0,0.0,0.6666666666666666,0.37700761470443755,0.12983614608947028,6,unconstrained,unconstrained-erdos_renyi-s1
9,0.1,0.0,0.9,0.0,0.8,5.2,0.3658119658119658,0.0,0.0,0.6666666666666666,0.343766700939905,0.11663068764494412,6,unconstrained,unconstrained-erdos_renyi-s1
10,0.13333333333333333,0.0,0.8416666666666667,0.0,1.0,5.933333333333334,0.3741573033707865,0.16666666666666666,0.03305709144863722,0.6666666666666666,0.3185146968271165,0.1142942779071015,6,unconstrained,unconstrained-erdos_renyi-s1
11,0.26666666666666666,0.0,0.8666666666666667,0.0,0.9,7.766666666666667,0.43333333333333335,0.16666666666666666,0.03305709144863722,0.5,0.31229293320786244,0.13210448867583857,6,unconstrained,unconstrained-erdos_renyi-s1
12,0.36666666666666664,0.0,0.8666666666666667,0.0,0.6000000000000001,8.733333333333333,0.3931297709923664,0.16666666666666666,0.03305709144863722,0.5,0.31881778122291904,0.15052108073496906,6,unconstrained,unconstrained-erdos_renyi-s1
13,0.4,0.0,0.8666666666666667,0.0,1.0,8.8,0.33106060606060606,0.16666666666666666,0.03305709144863722,0.5,0.32855964747616867,0.15629815399129732,6,unconstrained,unconstrained-erdos_renyi-s1
14,0.3,0.0,0.8916666666666666,0.0,1.0,8.133333333333333,0.4281420765027322,0.16666666666666666,0.03305709144863722,0.3333333333333333,0.3251324897790285,0.16298794372748507,6,unconstrained,unconstrained-erdos_renyi-s1
15,0.06666666666666667,0.0,0.875,0.0,0.8,5.6,0.36706349206349204,0.0,0.0,0.8333333333333334,0.29411659100554505,0.14333783827985636,6,unconstrained,unconstrained-erdos_renyi-s1
16,0.2,0.0,0.8916666666666666,0.0,0.5,6.133333333333334,0.4108695652173913,0.16666666666666666,0.04132136431079653,0.3333333333333333,0.2828226000848797,0.1340872033114493,6,unconstrained,unconstrained-erdos_renyi-s1
17,0.23333333333333334,0.0,0.8666666666666667,0.0,0.9,7.1,0.376056338028169,0.16666666666666666,0.04132136431079653,0.5,0.2768838880746941,0.1350557326598216,6,unconstrained,unconstrained-erdos_renyi-s1
18,0.4,0.0,0.8666666666666667,0.0,0.8,8.866666666666667,0.43333333333333335,0.16666666666666666,0.03305709144863722,0.5,0.2916578215057308,0.13429490933025395,6,unconstrained,unconstrained-erdos_renyi-s1
