idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.468859533164009,0.0,0.28018427050630473,0.21559557317304923,1402.0,50,0,7,15
1,idealist,0.5460633975664924,0.1,0.31573501757295597,0.5846484956125646,628.0,50,50,22,10
2,skeptic,0.36964959402583336,-0.12,0.5542392582364227,0.1416864964338037,835.0,50,0,4,10
3,conformist,0.6456000067695206,0.0,0.2920621444693863,0.4554041118134335,68.0,0,0,16,1
4,strategist,0.3444397146289511,-0.05,0.11018677934309212,0.07788277310184101,1150.0,50,2,4,13
5,opportunist,0.3565088306193972,-0.15,0.40619889690208655,0.117439004397346,1078.0,50,0,6,12
6,pragmatist,0.10124538380417487,0.0,0.26718125041011814,0.014386672343639037,624.0,0,0,1,7
7,idealist,0.26311335791204027,0.1,0.19015989679448225,0.1894019249056523,592.0,0,0,9,7
8,skeptic,0.3683611525714035,-0.12,0.45255497654462684,0.11309218147742715,595.0,0,0,6,7
9,conformist,0.5117445804561199,0.0,0.30637700541640167,0.1186189642453104,481.0,0,0,10,6
10,strategist,0.43071980055839487,-0.05,0.5049695205824528,0.23719427312074975,369.0,0,0,7,5
11,opportunist,0.350220798977008,-0.15,0.45272651051395296,0.1389128592985554,456.0,0,0,3,5
12,pragmatist,0.5855205272477713,0.0,0.31410184466413116,0.35221423104339183,236.0,0,0,16,4
13,idealist,0.33847511259692875,0.1,0.1617411935612371,0.232515265593465,398.0,0,0,8,5
14,skeptic,0.3813411261498991,-0.12,0.5330292685205074,0.14114989568514066,664.0,50,0,8,8
15,conformist,0.2985572724691896,0.0,0.11862366376924302,0.3820786882051082,292.0,0,0,12,3
16,strategist,0.42611624851282837,-0.05,0.38112683770287115,0.20039617288364986,307.0,0,0,8,4
17,opportunist,0.48219886837595116,-0.15,0.4533059063559882,0.38272267277829514,212.0,0,0,10,3
18,pragmatist,0.3519257085872491,0.0,0.2805579549460846,0.2311505068041376,213.0,0,0,10,3
19,idealist,0.5675963205091994,0.1,0.5240146717831141,0.728627932081942,237.0,0,0,18,3
20,skeptic,0.261140170184382,-0.12,0.7270885662108595,0.07156493249830873,249.0,0,0,6,3
21,conformist,0.6518813135673457,0.0,0.2671967101050641,0.35771736975957746,294.0,0,0,13,4
22,strategist,0.48966834454939556,-0.05,0.2529115778195358,0.33155440566631844,294.0,0,0,12,3
23,opportunist,0.6687031025305438,-0.15,0.6940387474674947,0.3608842386475583,184.0,0,0,16,3
24,pragmatist,0.7202452304799187,0.0,0.4972655647101555,0.47141573319636276,174.0,0,0,18,3
25,idealist,0.5036070615988434,0.1,0.11875220515767426,0.25191699174924986,295.0,0,0,10,3
26,skeptic,0.44933188003198754,-0.12,0.5984712402614504,0.6014770886772862,193.0,0,0,16,3
27,conformist,0.25674578043756685,0.0,0.20926830902730123,0.061037937406994515,215.0,0,0,9,3
28,strategist,0.5144795542233345,-0.05,0.4044064085944303,0.20035328895446927,271.0,0,0,11,3
29,opportunist,0.2723823049864217,-0.15,0.3007446141941448,0.2020075723826071,217.0,0,0,6,3
