idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.468859533164009,0.0,0.28018427050630473,0.3883078319189099,488.0,0,0,13,6
1,idealist,0.5460633975664924,0.1,0.31573501757295597,0.38005978868283463,393.0,0,0,20,6
2,skeptic,0.36964959402583336,-0.12,0.5542392582364227,0.04011546672946239,753.0,50,0,2,7
3,conformist,0.6456000067695206,0.0,0.2920621444693863,0.40244127911605915,428.0,0,0,16,6
4,strategist,0.3444397146289511,-0.05,0.11018677934309212,0.11819395519265434,481.0,0,0,5,5
5,opportunist,0.3565088306193972,-0.15,0.40619889690208655,0.15524682010919202,418.0,0,0,4,5
6,pragmatist,0.10124538380417487,0.0,0.26718125041011814,0.1252171270576269,434.0,0,0,2,5
7,idealist,0.26311335791204027,0.1,0.19015989679448225,0.22896041797417999,443.0,0,0,10,6
8,skeptic,0.3683611525714035,-0.12,0.45255497654462684,0.069061957658948,450.0,0,0,5,6
9,conformist,0.5117445804561199,0.0,0.30637700541640167,0.2440835506353766,452.0,0,0,12,6
10,strategist,0.43071980055839487,-0.05,0.5049695205824528,0.27496307640892304,534.0,0,0,13,6
11,opportunist,0.350220798977008,-0.15,0.45272651051395296,0.04317803437457147,669.0,0,0,3,6
12,pragmatist,0.5855205272477713,0.0,0.31410184466413116,0.4355391096081443,434.0,0,0,17,6
13,idealist,0.33847511259692875,0.1,0.1617411935612371,0.4441950595466629,565.0,50,43,17,7
14,skeptic,0.3813411261498991,-0.12,0.5330292685205074,0.16352363615329588,479.0,0,0,7,5
15,conformist,0.2985572724691896,0.0,0.11862366376924302,0.1327292192606499,549.0,0,0,6,6
16,strategist,0.42611624851282837,-0.05,0.38112683770287115,0.36213901754490296,528.0,0,0,12,6
17,opportunist,0.48219886837595116,-0.15,0.4533059063559882,0.17674799114023532,501.0,0,0,9,6
18,pragmatist,0.3519257085872491,0.0,0.2805579549460846,0.3669994064078268,518.0,0,0,13,6
19,idealist,0.5675963205091994,0.1,0.5240146717831141,0.3826172495798229,449.0,0,0,19,6
20,skeptic,0.261140170184382,-0.12,0.7270885662108595,0.12926812481240504,659.0,0,0,3,6
21,conformist,0.6518813135673457,0.0,0.2671967101050641,0.5179510933451927,382.0,0,0,14,5
22,strategist,0.48966834454939556,-0.05,0.2529115778195358,0.2762028139576311,675.0,0,0,10,6
23,opportunist,0.6687031025305438,-0.15,0.6940387474674947,0.2273597584905595,635.0,0,0,8,6
24,pragmatist,0.7202452304799187,0.0,0.4972655647101555,0.3907393820965482,642.0,50,0,14,7
25,idealist,0.5036070615988434,0.1,0.11875220515767426,0.5361012568080252,476.0,50,47,21,7
26,skeptic,0.44933188003198754,-0.12,0.5984712402614504,0.14620545908844765,519.0,0,0,12,6
27,conformist,0.25674578043756685,0.0,0.20926830902730123,0.3450537111638168,577.0,50,38,11,6
28,strategist,0.5144795542233345,-0.05,0.4044064085944303,0.19606176061749592,628.0,0,0,9,6
29,opportunist,0.2723823049864217,-0.15,0.3007446141941448,0.11871068133955164,774.0,50,0,1,7
