cond,seed,C,A,I,F,ECS_ts
governed,0,0.27666666666666667,0.7570833333333333,1.0,0.8273809523809523,0.175354828042328
governed,1,0.3183333333333333,0.6879166666666666,1.0,0.8083333333333332,0.17713888888888882
governed,2,0.2849999999999999,0.6812500000000001,1.0,0.8305555555555555,0.16012962962962957
governed,3,0.215,0.7866666666666667,1.0,0.8179487179487179,0.1374825498575498
governed,4,0.2799999999999999,0.7095833333333333,1.0,0.8397727272727273,0.16609154040404037
naive,0,0.2716666666666666,0.7787499999999999,1.0,0.8345238095238097,0.18037037037037035
naive,1,0.31166666666666665,0.7295833333333334,1.0,0.8222222222222222,0.18622415123456787
naive,2,0.2766666666666666,0.74,1.0,0.788888888888889,0.15911651234567897
naive,3,0.21333333333333332,0.8325000000000001,1.0,0.8365384615384615,0.1493415242165242
naive,4,0.2699999999999999,0.70625,1.0,0.8477272727272727,0.16074447601010095
unconstrained,0,0.255,0.8474999999999999,0.0,0.855952380952381,0.0
unconstrained,1,0.30833333333333324,0.8195833333333333,0.0,0.7520833333333333,0.0
unconstrained,2,0.2566666666666666,0.8666666666666666,0.05,0.7861111111111111,0.010057098765432086
unconstrained,3,0.20833333333333331,0.8654166666666667,0.3,0.8198717948717948,0.043923717948717925
unconstrained,4,0.25666666666666665,0.8099999999999999,0.0,0.8670454545454545,0.0
