idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.314281318903375,2095.0,50,41,15,23
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.45241611941381255,801.0,50,50,26,12
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.035869095464737606,308.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.39766824032645587,1599.0,50,50,17,19
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.16235336731022498,2879.0,50,44,11,30
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.1542456022181511,2899.0,50,1,6,28
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.11826904312851592,2367.0,50,37,12,26
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.6018331737471776,1700.0,50,50,26,23
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.25697641472346594,1155.0,50,1,13,13
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.4372290311372601,369.0,50,48,28,6
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.30285461268662395,1378.0,50,45,12,15
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.24755673217387747,340.0,0,0,12,4
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.24512859515751717,1317.0,50,33,14,15
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.6979822656697762,510.0,50,50,17,7
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.34329821709111585,1016.0,50,0,8,11
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.3544692695478401,319.0,0,0,13,4
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.2182776494832101,750.0,50,41,11,9
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.1451765651369419,274.0,0,0,6,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.37284038667706015,509.0,0,0,12,5
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.5208520421109928,547.0,50,50,15,7
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.23701110551767965,482.0,0,0,4,5
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.1793838101083942,440.0,0,0,6,4
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.43017963391205843,946.0,50,44,13,11
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.43525219914044977,380.0,0,0,7,5
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.2669190659721136,336.0,0,0,13,4
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.4840289477527842,835.0,50,50,20,11
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.005202170250386667,821.0,50,1,2,7
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.18696914577498566,493.0,45,45,14,6
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.13873673031008363,236.0,0,0,8,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.06264528956617878,640.0,5,0,3,6
30,pragmatist,0.1975695342576293,0.0,0.24976724550213375,0.11634753624129533,579.0,0,0,2,5
31,idealist,0.4744129597657509,0.1,0.3879333497038917,0.3355630092780336,413.0,0,0,15,5
32,skeptic,0.5566839869689283,-0.12,0.6190020852799888,0.2767667907776997,282.0,0,0,18,3
33,conformist,0.39769123916273436,0.0,0.08064723110031491,0.2533206052101056,495.0,0,0,7,4
34,strategist,0.5786963821885731,-0.05,0.27130435126775776,0.48292708063401657,701.0,50,43,14,9
35,opportunist,0.2586470514993117,-0.15,0.23000691789947791,0.0988281096179353,392.0,0,0,2,3
36,pragmatist,0.31208215709975834,0.0,0.3745741116080646,0.16303772268805583,373.0,0,0,7,4
37,idealist,0.4713638604105848,0.1,0.40357280311016525,0.3583577385900299,405.0,0,0,10,4
38,skeptic,0.3859121030495199,-0.12,0.5237809536615071,0.32308805536071716,254.0,0,0,8,3
39,conformist,0.5438385590951005,0.0,0.10359801904196422,0.45370167439696013,416.0,0,0,10,5
40,strategist,0.5185162856336117,-0.05,0.20071110884000232,0.33366595235304963,279.0,0,0,11,3
41,opportunist,0.39554192301523927,-0.15,0.34273931590025064,0.23020368674225875,586.0,0,0,1,5
42,pragmatist,0.27062405316164406,0.0,0.37304587211783724,0.07555773021850794,406.0,0,0,4,4
43,idealist,0.3795896489695914,0.1,0.30187411780915313,0.25837424662018504,454.0,0,0,7,4
44,skeptic,0.5221119988358863,-0.12,0.5669796764044917,0.2869081580107651,438.0,0,0,4,4
45,conformist,0.549807766345918,0.0,0.13522717732358644,0.26588555951976656,447.0,0,0,10,5
46,strategist,0.386505253193377,-0.05,0.2880422683640401,0.3769848528830304,456.0,0,0,10,5
47,opportunist,0.19689983490629553,-0.15,0.18293312913653692,0.016485624645192525,418.0,0,0,1,3
48,pragmatist,0.2515950581468397,0.0,0.15041297585977773,0.17851692019546245,363.0,0,0,8,4
49,idealist,0.5099661340085155,0.1,0.16417814169599088,0.3930866066976216,427.0,0,0,12,5
50,skeptic,0.3932756168940916,-0.12,0.6948842446679098,0.15449363478355677,307.0,0,0,6,3
51,conformist,0.3965604043407861,0.0,0.260627335270063,0.30358693008956783,538.0,0,0,6,5
52,strategist,0.3099573479985185,-0.05,0.2691843663198555,0.06941061319545172,352.0,0,0,3,3
53,opportunist,0.3074966917634128,-0.15,0.34914503861491564,0.051519918010787626,426.0,0,0,3,4
54,pragmatist,0.5760462206186093,0.0,0.040901936521147694,0.4788404968316866,315.0,0,0,14,4
55,idealist,0.5151635465318786,0.1,0.33566034034984166,0.48309452262756547,207.0,0,0,23,3
56,skeptic,0.36087750664548085,-0.12,0.2830913218417318,0.14333600638268956,472.0,0,0,6,5
57,conformist,0.46081942615708044,0.0,0.07057609364042963,0.4444550049494944,309.0,0,0,11,3
58,strategist,0.4849014317032056,-0.05,0.3032778218285164,0.3130697980864607,435.0,0,0,9,4
59,opportunist,0.6902668336981373,-0.15,0.3640966558790464,0.3519552776378778,318.0,0,0,16,3
60,pragmatist,0.29647537610672026,0.0,0.32689134524344743,0.2554391274790075,348.0,0,0,7,3
61,idealist,0.4829995025957648,0.1,0.5038781362860655,0.2294473949295827,358.0,0,0,12,4
62,skeptic,0.5752666868871867,-0.12,0.5535306588724265,0.21156634677451722,282.0,0,0,10,3
63,conformist,0.6694954336829343,0.0,0.0,0.5155951844377451,238.0,0,0,16,3
64,strategist,0.3540372700875379,-0.05,0.16101360878917126,0.05441415622842388,480.0,0,0,4,4
