t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.44,0.2727214285714286,0.6675,1.0,0.9285714285714286,12.6,0.4285555555555556,0.95,0.1383339851854381,0.0,0.4468535012236237,0.1423870156695464,20,governed,R6 N=100 governed
1,0.38,0.2622,0.69,1.0,1.0,11.37,0.5107915567282322,0.8,0.11180603159102902,0.2,0.4388310810767887,0.1436671285236255,20,governed,R6 N=100 governed
2,0.35,0.21274999999999997,0.69,1.0,0.8809523809523809,11.55,0.4541731601731602,0.8,0.1123282974006639,0.2,0.4281713513475742,0.15312951874326242,20,governed,R6 N=100 governed
3,0.35,0.22999999999999995,0.69,1.0,0.9523809523809523,10.83,0.5014681440443214,0.8,0.11328706348402,0.2,0.4187907891858653,0.159493574275439,20,governed,R6 N=100 governed
4,0.27,0.16855714285714285,0.69,1.0,0.9047619047619048,10.41,0.45213256484149855,0.8,0.10555036420043078,0.2,0.40093589448356143,0.16454552573359002,20,governed,R6 N=100 governed
5,0.32,0.18068571428571428,0.6975,1.0,0.8095238095238095,10.91,0.46123739688359305,0.8,0.10420412101921053,0.15,0.39122358714553407,0.16009045591801876,20,governed,R6 N=100 governed
6,0.29,0.15245714285714282,0.69,1.0,0.7619047619047619,11.96,0.3903846153846154,0.8,0.11810956043676861,0.2,0.37907675668807,0.16223590398484003,20,governed,R6 N=100 governed
7,0.31,0.14769285714285713,0.69,1.0,0.6904761904761905,11.92,0.4047986577181208,0.8,0.12344754214245857,0.2,0.37078754588550156,0.15676231295754092,20,governed,R6 N=100 governed
8,0.25,0.16017857142857142,0.69,1.0,0.9285714285714286,9.42,0.5281740976645435,0.8,0.11962045444147648,0.2,0.3562930403792413,0.14769001409528085,20,governed,R6 N=100 governed
9,0.26,0.15976071428571428,0.6975,1.0,0.8809523809523809,11.08,0.4305956678700361,0.8,0.11247610732209153,0.15,0.3447378755337324,0.15364150023953943,20,governed,R6 N=100 governed
10,0.28,0.14933333333333335,0.7000000000000001,1.0,0.7619047619047619,10.86,0.4574769797421731,0.75,0.09306430919772625,0.25,0.3369693304696845,0.15345298328929804,20,governed,R6 N=100 governed
11,0.34,0.20691428571428575,0.71,1.0,0.8571428571428572,11.61,0.44788113695090437,0.7,0.08890010106144534,0.3,0.33733301081332234,0.15846091488630368,20,governed,R6 N=100 governed
12,0.28,0.184,0.69,1.0,0.9523809523809523,10.29,0.5036248785228377,0.8,0.09419589327219971,0.2,0.3304530495157237,0.15631186567112035,20,governed,R6 N=100 governed
13,0.31,0.20888095238095236,0.7075,1.0,0.9523809523809523,10.22,0.5131898238747554,0.75,0.09172260482558817,0.2,0.3279986835738369,0.16142346768804097,20,governed,R6 N=100 governed
14,0.41,0.2733333333333334,0.7000000000000001,1.0,0.9523809523809523,11.57,0.5077009507346586,0.75,0.08250064062228023,0.25,0.3378388415449764,0.16790348380526743,20,governed,R6 N=100 governed
15,0.27,0.14605714285714286,0.71,1.0,0.7619047619047619,10.7,0.45299065420560747,0.7,0.09809585269475997,0.3,0.3296981805595792,0.16327870087168378,20,governed,R6 N=100 governed
16,0.31,0.16533333333333333,0.7000000000000001,1.0,0.7619047619047619,11.68,0.4214041095890411,0.75,0.10257928928586331,0.25,0.3273343988924297,0.157686772146472,20,governed,R6 N=100 governed
17,0.29,0.20009999999999997,0.69,1.0,1.0,10.49,0.4659008579599619,0.8,0.10561849669432415,0.2,0.32285427102533826,0.16464008886322332,20,governed,R6 N=100 governed
