idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.11829043274424803,2310.0,50,0,7,23
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.44099032092448553,756.0,50,44,25,12
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.0024489783436093555,236.0,0,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.2591225303443898,1565.0,50,34,14,19
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.09912428172678353,2853.0,50,2,6,30
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.19423037491993977,2645.0,50,0,8,28
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.053947939921031876,2364.0,50,0,10,26
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.5985712138162176,1593.0,50,45,26,23
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2916783904400894,1137.0,50,0,9,13
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.42476606947523193,393.0,50,27,23,6
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.2181889612533382,1433.0,50,3,7,15
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.24755673217387747,310.0,0,0,13,4
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.21676461791708304,1350.0,50,0,8,15
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.6363143065961469,460.0,50,45,23,7
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.22203012609736753,980.0,50,0,10,11
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.4480502416080381,301.0,0,0,15,4
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.05876510020653083,768.0,50,0,5,9
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.14532102216955967,242.0,0,0,8,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.37020960199588937,451.0,0,0,12,5
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.4289216813160531,533.0,50,43,14,7
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.22651753641217912,483.0,0,0,3,5
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.18429569351947955,373.0,0,0,7,4
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.19013768407400783,913.0,50,2,10,11
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.4531151897841339,352.0,0,0,7,5
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.28057705226734325,297.0,0,0,13,4
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.4840289477527842,758.0,50,44,20,11
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.06803803306676262,791.0,50,0,1,7
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.09632555228763832,471.0,45,21,11,6
