t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.42,0.0,0.77,0.0,0.9761904761904762,11.84,0.48162162162162164,0.4,0.07426834191257103,0.6,0.44445350122362376,0.14207895362458853,20,unconstrained,R6 N=100 unconstrained
1,0.35,0.0,0.7625,0.0,0.8571428571428572,10.24,0.565078125,0.4,0.04859981598600106,0.65,0.4331190810767888,0.1427315741197409,20,unconstrained,R6 N=100 unconstrained
2,0.31,0.0,0.81,0.0,0.9761904761904762,10.12,0.5307707509881423,0.35,0.04139230790925695,0.45,0.4183447913475742,0.15140385549913196,20,unconstrained,R6 N=100 unconstrained
3,0.34,0.0,0.875,0.0,0.9523809523809523,10.71,0.491531279178338,0.25,0.04249680273512022,0.25,0.40894341638586534,0.15262549270554687,20,unconstrained,R6 N=100 unconstrained
4,0.27,0.0,0.81,0.0,0.9047619047619048,10.41,0.45213256484149855,0.35,0.05805813275836608,0.45,0.3922702064195614,0.1580929148699303,20,unconstrained,R6 N=100 unconstrained
5,0.31,0.0,0.8425,0.0,0.8571428571428572,10.77,0.4608263695450325,0.3,0.05331528257372844,0.35,0.38239778164921406,0.15695872001661207,20,unconstrained,R6 N=100 unconstrained
6,0.27,0.0,0.8700000000000001,0.0,0.8571428571428572,11.63,0.391152192605331,0.2,0.03379932691955673,0.4,0.3689100478513084,0.16065857249073906,20,unconstrained,R6 N=100 unconstrained
7,0.25,0.0,0.8200000000000001,0.0,0.9285714285714286,10.26,0.4892007797270955,0.3,0.051227491086470546,0.5,0.35464084210915137,0.15382623340822055,20,unconstrained,R6 N=100 unconstrained
8,0.22,0.0,0.795,0.0,0.8809523809523809,8.89,0.5194938132733409,0.35,0.060301723730494916,0.55,0.33848394105605323,0.1469550311883179,20,unconstrained,R6 N=100 unconstrained
9,0.22,0.0,0.835,0.0,1.0,9.56,0.48426778242677826,0.3,0.0494832438918867,0.4,0.32426586812932684,0.15099229337875697,20,unconstrained,R6 N=100 unconstrained
10,0.24,0.0,0.8025000000000001,0.0,0.9047619047619048,9.94,0.4864185110663984,0.35,0.05805813275836608,0.5,0.3141539639538076,0.15566039319344885,20,unconstrained,R6 N=100 unconstrained
11,0.25,0.0,0.8025000000000001,0.0,0.9761904761904762,9.42,0.5348407643312102,0.35,0.06053000837396462,0.5,0.30645548827935065,0.15430041361290878,20,unconstrained,R6 N=100 unconstrained
12,0.22,0.0,0.8275,0.0,0.8809523809523809,9.24,0.49937229437229436,0.3,0.0494832438918867,0.45,0.29608082968582855,0.15151026188530847,20,unconstrained,R6 N=100 unconstrained
13,0.29,0.0,0.8025000000000001,0.0,0.8809523809523809,9.9,0.5089292929292929,0.35,0.05894156066425171,0.5,0.2953511301235292,0.15774921562645455,20,unconstrained,R6 N=100 unconstrained
14,0.41,0.0,0.81,0.0,0.8333333333333333,11.22,0.5273440285204991,0.35,0.05894156066425171,0.45,0.30910899450870566,0.16394486739944966,20,unconstrained,R6 N=100 unconstrained
15,0.26,0.0,0.8275,0.0,0.8095238095238095,10.39,0.45417709335899903,0.3,0.05172683486401554,0.45,0.303215915167661,0.1591727142526631,20,unconstrained,R6 N=100 unconstrained
16,0.3,0.0,0.805,0.0,0.8095238095238095,11.1,0.4545945945945946,0.3,0.0490837688698507,0.6,0.3028300053475416,0.15290502560057337,20,unconstrained,R6 N=100 unconstrained
17,0.29,0.0,0.86,0.0,0.9285714285714286,11.1,0.4302522522522523,0.25,0.03960602340783026,0.35,0.3012904047058367,0.15789730319931505,20,unconstrained,R6 N=100 unconstrained
18,0.39,0.0,0.8275,0.0,0.8333333333333334,11.72,0.4975767918088737,0.3,0.05172683486401554,0.45,0.31193555614113627,0.15893821992507484,20,unconstrained,R6 N=100 unconstrained
19,0.22,0.0,0.8775000000000001,0.0,0.9761904761904763,9.5,0.46482105263157897,0.2,0.03577274473239065,0.35,0.3009032894041999,0.16186331140971658,20,unconstrained,R6 N=100 unconstrained
20,0.27,0.035177142857142865,0.76,0.2,0.8571428571428572,10.49,0.43697807435653,0.45,0.061731473113744176,0.55,0.29719489467569593,0.1640442488195325,20,unconstrained,R6 N=100 unconstrained
21,0.25,0.03438095238095239,0.76,0.2,0.9047619047619048,9.43,0.5084093319194062,0.45,0.061885220459348154,0.55,0.29153150731461236,0.16110272147661706,20,unconstrained,R6 N=100 unconstrained
22,0.22,0.02614857142857143,0.78,0.2,0.7619047619047619,8.43,0.5297864768683274,0.35,0.05805813275836608,0.65,0.28294772643685895,0.1491998181486414,20,unconstrained,R6 N=100 unconstrained
23,0.34,0.05044952380952381,0.76,0.2,0.9761904761904762,10.87,0.47642134314627416,0.45,0.061796016007432786,0.55,0.28979399926443583,0.15412124967595983,20,unconstrained,R6 N=100 unconstrained
24,0.29,0.04198095238095238,0.76,0.2,0.9523809523809523,10.19,0.49508341511285575,0.45,0.06213337281035765,0.55,0.28981871935270354,0.15864861022089644,20,unconstrained,R6 N=100 unconstrained
25,0.24,0.0,0.7775,0.0,0.9761904761904762,9.19,0.5355277475516866,0.4,0.07212461969595119,0.55,0.2838404730303791,0.16253743458373776,20,unconstrained,R6 N=100 unconstrained
26,0.27,0.0,0.8550000000000001,0.0,0.8333333333333334,10.79,0.43220574606116774,0.2,0.03297874148054263,0.5,0.2821796162667336,0.17120558719455237,20,unconstrained,R6 N=100 unconstrained
27,0.28,0.0,0.8025000000000001,0.0,0.8571428571428572,10.5,0.4724190476190476,0.35,0.06068580785883556,0.5,0.2819180623147256,0.17419421894973458,20,unconstrained,R6 N=100 unconstrained
28,0.26,0.0,0.8375,0.0,0.9285714285714286,9.53,0.5319727177334732,0.25,0.04467059677462483,0.5,0.27928789483695854,0.1751457584607156,20,unconstrained,R6 N=100 unconstrained
