t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5666666666666667,0.22261904761904766,0.65,1.0,0.6043956043956045,14.1,0.28092986603624903,1.0,0.14978712164344501,0.0,0.48028902077209606,0.14766754336989582,6,governed,governed-adversarial
1,0.5,0.2178571428571429,0.65,1.0,0.6703296703296704,12.533333333333333,0.33351063829787236,1.0,0.11914209585188706,0.0,0.4826543382794446,0.14593131219278294,6,governed,governed-adversarial
2,0.43333333333333335,0.18880952380952384,0.65,1.0,0.6703296703296704,11.833333333333334,0.33943661971830985,1.0,0.11511433577117325,0.0,0.47673581768591117,0.140135227710636,6,governed,governed-adversarial
3,0.43333333333333335,0.16714285714285715,0.65,1.0,0.5934065934065934,12.2,0.3524590163934426,1.0,0.1222476492373072,0.0,0.4715275195636018,0.13518327534561939,6,governed,governed-adversarial
4,0.36666666666666664,0.17547619047619048,0.65,1.0,0.7362637362637363,11.966666666666667,0.3406685236768802,1.0,0.11511433577117325,0.0,0.4589442172159696,0.1453115957620544,6,governed,governed-adversarial
5,0.3,0.09857142857142857,0.65,1.0,0.5054945054945055,11.133333333333333,0.32375249500998005,1.0,0.10131505928557262,0.0,0.4398709111500533,0.16008047137451104,6,governed,governed-adversarial
6,0.4,0.24857142857142858,0.65,1.0,0.9560439560439561,10.8,0.4477366255144033,1.0,0.10763569919741045,0.0,0.43508640181204683,0.17156290399995763,6,governed,governed-adversarial
7,0.3,0.15857142857142859,0.65,1.0,0.8131868131868132,10.033333333333333,0.39700996677740863,1.0,0.11511433577117325,0.0,0.41887603359460124,0.18172943998432184,6,governed,governed-adversarial
8,0.36666666666666664,0.22785714285714284,0.65,1.0,0.9560439560439561,11.0,0.38747474747474747,1.0,0.09383642271180982,0.0,0.4126109095632492,0.18197306683212716,6,governed,governed-adversarial
9,0.36666666666666664,0.23309523809523808,0.65,1.0,0.978021978021978,10.233333333333333,0.46395222584147666,1.0,0.09383642271180982,0.0,0.4070976004156593,0.18555448661809207,6,governed,governed-adversarial
10,0.23333333333333334,0.17307692307692307,0.75,1.0,0.989010989010989,8.666666666666666,0.41820512820512823,0.5,0.0995289803997022,0.5,0.38624588836578005,0.1805592886500641,6,governed,governed-adversarial
