idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.2724377421831481,1169.0,50,35,7,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,313.0,0,0,15,4
2,skeptic,0.15734472170192454,-0.12,0.3046730739706523,0.12829081999590813,362.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.6959851161374941,641.0,50,48,18,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.3770535398015424,1114.0,50,47,11,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.1301039639620471,1596.0,50,17,5,15
6,pragmatist,0.4599046046341824,0.0,0.46908618104520494,0.597301960434202,957.0,50,32,14,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.4026426010240901,837.0,50,50,21,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2537808270734908,474.0,0,0,6,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21230358270809577,376.0,0,0,7,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.44213602388788936,696.0,0,0,6,7
11,opportunist,0.6333812008011046,-0.15,0.3768205776896797,0.41755777115250087,269.0,0,0,15,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676557,0.44839740351677415,607.0,0,0,9,6
13,idealist,0.5298463778330023,0.1,0.35481660965461176,0.5880852102734786,286.0,0,0,13,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.39521595002452325,592.0,0,0,6,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.4674027231869038,258.0,0,0,17,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281835,0.2877706775545587,469.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.12838182958390326,277.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.34631419349538733,310.0,0,0,10,3
19,idealist,0.3263278176463141,0.1,0.3975889181737051,0.34055219661682196,373.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.29061920601912816,400.0,0,0,10,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.1441697829498458,383.0,0,0,3,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,348.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,284.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.37122196187184026,273.0,0,0,9,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6052355995833684,367.0,0,0,15,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,468.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.05416832276349873,0.37592773255922013,311.0,0,0,7,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.36122863860192905,231.0,0,0,11,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.19188054739205257,348.0,0,0,4,3
