t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,label
0,0.8333333333333334,0.0,0.8202997642857143,0.0,0.934065934065934,idealized-unconstrained
1,0.7,0.0,0.7888002817857143,0.0,0.9120879120879122,idealized-unconstrained
2,0.8,0.0,0.7651842062814254,0.0,0.7692307692307693,idealized-unconstrained
3,0.7333333333333333,0.0,0.7479812969913099,0.0,0.9120879120879122,idealized-unconstrained
4,0.8,0.0,0.7359928758069045,0.0,0.6923076923076923,idealized-unconstrained
5,0.7,0.0,0.5819414269713685,0.0,0.7582417582417583,idealized-unconstrained
6,0.8333333333333334,0.0,0.5560551486998679,0.0,0.989010989010989,idealized-unconstrained
7,0.8666666666666667,0.0,0.5384910545646785,0.0,0.8461538461538461,idealized-unconstrained
8,0.9333333333333333,0.0,0.5276744432632043,0.0,0.9230769230769231,idealized-unconstrained
9,0.8666666666666667,0.0,0.522316600835256,0.0,0.9230769230769231,idealized-unconstrained
10,0.7666666666666667,0.0,0.42800139037004337,0.0,0.6923076923076923,idealized-unconstrained
11,0.8333333333333334,0.0,0.4247568025746048,0.0,0.9120879120879122,idealized-unconstrained
12,0.8,0.0,0.426175736798327,0.0,0.8681318681318682,idealized-unconstrained
13,0.8333333333333334,0.0,0.43132699593377555,0.0,0.989010989010989,idealized-unconstrained
14,0.8,0.0,0.4394441383617804,0.0,0.989010989010989,idealized-unconstrained
15,0.8333333333333334,0.0,0.35653613601203626,0.0,0.7912087912087912,idealized-unconstrained
16,0.9,0.0,0.3629780216592098,0.0,0.7692307692307693,idealized-unconstrained
17,0.9,0.0,0.37264685441188017,0.0,0.8461538461538461,idealized-unconstrained
18,1.0,0.0,0.3848448145488612,0.0,1.0,idealized-unconstrained
19,0.8333333333333334,0.0,0.39899771878204626,0.0,0.7692307692307693,idealized-unconstrained
20,0.9666666666666667,0.05914604434776373,0.33142180022453815,0.2,0.9230769230769231,idealized-unconstrained
21,0.9,0.057285463081933316,0.3407174601605184,0.2,0.934065934065934,idealized-unconstrained
22,0.9666666666666667,0.06822891962816408,0.3529082049732625,0.2,1.0,idealized-unconstrained
23,0.9333333333333333,0.05802017338912483,0.3673355133402384,0.2,0.8461538461538461,idealized-unconstrained
24,0.9,0.06447182142185696,0.38345985290124074,0.2,0.934065934065934,idealized-unconstrained
25,0.9333333333333333,0.0,0.3074795919014236,0.0,0.8461538461538461,idealized-unconstrained
26,0.9666666666666667,0.0,0.3199283257540494,0.0,0.8571428571428571,idealized-unconstrained
27,0.9666666666666667,0.0,0.33481626074582915,0.0,1.0,idealized-unconstrained
28,0.9,0.0,0.3515577149218897,0.0,0.934065934065934,idealized-unconstrained
29,0.9666666666666667,0.0,0.36967322530895774,0.0,0.9230769230769231,idealized-unconstrained
30,0.9,0.0,0.29541087654035436,0.0,0.9230769230769231,idealized-unconstrained
31,0.9,0.0,0.30934555926505425,0.0,0.9230769230769231,idealized-unconstrained
32,0.9,0.0,0.3255219023396634,0.0,0.9230769230769231,idealized-unconstrained
33,0.8333333333333334,0.0,0.3433830185231984,0.0,0.989010989010989,idealized-unconstrained
34,0.9333333333333333,0.0,0.3624736153538298,0.0,0.8461538461538461,idealized-unconstrained
35,0.9666666666666667,0.0,0.2890621354334342,0.0,0.9230769230769231,idealized-unconstrained
36,0.9666666666666667,0.0,0.3037406732461686,0.0,1.0,idealized-unconstrained
37,0.9,0.0,0.32056844311221133,0.0,0.989010989010989,idealized-unconstrained
38,0.8333333333333334,0.0,0.33900096222336007,0.0,0.8571428571428571,idealized-unconstrained
39,0.9333333333333333,0.0,0.35859351966379804,0.0,0.9230769230769231,idealized-unconstrained
40,0.9666666666666667,0.0,0.28562361093245825,0.0,0.9230769230769231,idealized-unconstrained
41,0.9,0.0,0.30069109728434573,0.0,0.9230769230769231,idealized-unconstrained
42,0.8666666666666667,0.0,0.31786187423579704,0.0,0.934065934065934,idealized-unconstrained
43,0.9333333333333333,0.0,0.336597220987613,0.0,0.8571428571428571,idealized-unconstrained
44,0.9333333333333333,0.0,0.3564574079409045,0.0,0.9230769230769231,idealized-unconstrained
45,0.9333333333333333,0.0,0.283724246873032,0.0,1.0,idealized-unconstrained
46,0.9666666666666667,0.0,0.2990013471697448,0.0,0.9230769230769231,idealized-unconstrained
47,0.9666666666666667,0.0,0.3163578657610324,0.0,0.9230769230769231,idealized-unconstrained
48,0.9333333333333333,0.0,0.3352579251960581,0.0,0.9230769230769231,idealized-unconstrained
49,0.9666666666666667,0.0,0.3552642792152303,0.0,0.8571428571428571,idealized-unconstrained
