idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.2440023840639257,0.28656124567571667,1163.0,50,36,7,12
1,idealist,0.5625676793709686,0.1,0.5410847074586821,0.4419771027327824,311.0,0,0,16,4
2,skeptic,0.15734472170192454,-0.12,0.40467307397065233,0.12829081999590813,354.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.2025636111484627,0.6957254893442338,648.0,50,48,18,8
4,strategist,0.4474798263743567,-0.05,0.272043410863963,0.27024973119639456,1137.0,50,47,9,13
5,opportunist,0.5819096962294243,-0.15,0.6166687903143423,0.12946867573939208,1611.0,50,1,6,15
6,pragmatist,0.4599046046341824,0.0,0.5690861810452049,0.597301960434202,950.0,50,31,15,11
7,idealist,0.5201264013378069,0.1,0.2711061305675143,0.4026426010240901,838.0,50,50,21,11
8,skeptic,0.5053126176123748,-0.12,0.4561676098756502,0.2537808270734908,470.0,0,0,6,5
9,conformist,0.5817675451960909,0.0,0.24251111335206207,0.21230358270809577,365.0,0,0,8,4
10,strategist,0.4222706454682109,-0.05,0.2978605683394088,0.46256834627082666,674.0,0,0,8,7
11,opportunist,0.6333812008011046,-0.15,0.47682057768967967,0.41662554176867433,263.0,0,0,15,3
12,pragmatist,0.38575082667553395,0.0,0.3471799674267656,0.44839740351677415,600.0,0,0,9,6
13,idealist,0.5298463778330023,0.1,0.4548166096546118,0.5898816059046983,281.0,0,0,13,3
14,skeptic,0.5119098917393983,-0.12,0.6646231504511824,0.39521595002452325,592.0,0,0,5,6
15,conformist,0.7712471401305692,0.0,0.1890377475423077,0.4674027231869038,254.0,0,0,17,3
16,strategist,0.3731635906392694,-0.05,0.2779340907628184,0.2877706775545587,458.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.6693458439081338,0.14203981587913303,277.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.2739765284556208,0.34631419349538733,301.0,0,0,10,3
19,idealist,0.3263278176463141,0.1,0.4975889181737052,0.34055219661682196,377.0,0,0,7,3
20,skeptic,0.5614881256805163,-0.12,0.6814731402457792,0.29061920601912816,388.0,0,0,10,4
21,conformist,0.35017354390669586,0.0,0.28482419846000795,0.1441697829498458,377.0,0,0,4,3
22,strategist,0.46750287137110924,-0.05,0.432803289509352,0.2508708135433282,348.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.5335393323162023,0.2557438613376282,288.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.41013686042333375,0.37122196187184026,277.0,0,0,9,3
25,idealist,0.49336790980349765,0.1,0.49469323387578107,0.6038676352593366,363.0,0,0,14,4
26,skeptic,0.23142662702165004,-0.12,0.5520493175464048,0.13402712296491534,464.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.15416832276349876,0.37592773255922013,308.0,0,0,8,3
28,strategist,0.40872866231599747,-0.05,0.6242411966851594,0.36122863860192905,231.0,0,0,11,3
29,opportunist,0.3201253326460135,-0.15,0.6452417531887221,0.19188054739205257,336.0,0,0,4,3
