t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5333333333333333,0.28229548229548224,0.7083333333333333,1.0,0.7472527472527473,13.433333333333334,0.32315963606286185,0.8333333333333334,0.07242602822939785,0.0,0.47628902077209617,0.14718095765028896,6,governed,governed-R0.70
1,0.4666666666666667,0.29094017094017094,0.7666666666666667,1.0,0.8131868131868132,12.066666666666666,0.37697974217311236,0.6666666666666666,0.0642622541314374,0.0,0.47513433827944457,0.14264669854870718,6,governed,governed-R0.70
2,0.4,0.2493772893772894,0.7666666666666667,1.0,0.8131868131868132,11.233333333333333,0.366864490603363,0.6666666666666666,0.06046227399863677,0.0,0.4661182176859111,0.134043049001828,6,governed,governed-R0.70
3,0.3,0.19208791208791207,0.7666666666666667,1.0,0.8351648351648351,9.066666666666666,0.5561274509803922,0.6666666666666666,0.0495296840469022,0.0,0.4461840315636018,0.11795698359416083,6,governed,governed-R0.70
4,0.36666666666666664,0.20022283272283273,0.7416666666666667,1.0,0.7362637362637363,11.966666666666667,0.3406685236768802,0.6666666666666666,0.0489506857159397,0.16666666666666666,0.43664194777596954,0.1288062528142237,6,governed,governed-R0.70
5,0.26666666666666666,0.13255189255189256,0.7666666666666667,1.0,0.6483516483516484,10.2,0.35446623093681917,0.6666666666666666,0.0495296840469022,0.0,0.41624491404285335,0.13332088021404676,6,governed,governed-R0.70
6,0.3333333333333333,0.23028083028083024,0.7666666666666667,1.0,0.901098901098901,9.433333333333334,0.5138987043580683,0.6666666666666666,0.056895969089169794,0.0,0.4062955243577109,0.15560175021727876,6,governed,governed-R0.70
7,0.26666666666666666,0.15052503052503055,0.7666666666666667,1.0,0.7362637362637363,9.8,0.3800453514739229,0.6666666666666666,0.056895969089169794,0.0,0.3895400614347856,0.15560689266782912,6,governed,governed-R0.70
8,0.36666666666666664,0.2599908424908425,0.7416666666666667,1.0,0.9560439560439561,11.0,0.38747474747474747,0.6666666666666666,0.045384380806472724,0.16666666666666666,0.3867952540626113,0.1652629722762008,6,governed,governed-R0.70
9,0.36666666666666664,0.2749328449328449,0.7666666666666667,1.0,0.978021978021978,10.233333333333333,0.46395222584147666,0.6666666666666666,0.045384380806472724,0.0,0.38437982357509803,0.16742131536330565,6,governed,governed-R0.70
10,0.23333333333333334,0.17307692307692307,0.75,1.0,0.989010989010989,8.666666666666666,0.41820512820512823,0.5,0.052862313733035536,0.5,0.36625424474608614,0.16672297597679292,6,governed,governed-R0.70
11,0.4,0.243956043956044,0.75,1.0,0.8131868131868132,11.0,0.3529292929292929,0.5,0.04572970391410158,0.5,0.37030373537655575,0.17520902903126012,6,governed,governed-R0.70
12,0.36666666666666664,0.2236263736263736,0.75,1.0,0.8131868131868132,11.2,0.3408730158730159,0.5,0.04572970391410158,0.5,0.36986728713136924,0.1777814355921683,6,governed,governed-R0.70
13,0.2,0.12388278388278388,0.7416666666666667,1.0,0.8351648351648351,7.733333333333333,0.47758620689655173,0.6666666666666666,0.05298434107207397,0.16666666666666666,0.3494832126756047,0.16742518315640745,6,governed,governed-R0.70
14,0.2,0.12388278388278388,0.7416666666666667,1.0,0.8351648351648351,8.033333333333333,0.4004149377593361,0.6666666666666666,0.06391693102380853,0.16666666666666666,0.33154522715453216,0.1668761200273931,6,governed,governed-R0.70
15,0.13333333333333333,0.07824175824175825,0.7416666666666667,1.0,0.7912087912087913,8.7,0.3280970625798212,0.6666666666666666,0.06092962444530406,0.16666666666666666,0.3077597998959884,0.14743298172584743,6,governed,governed-R0.70
16,0.2,0.13985347985347987,0.7666666666666667,1.0,0.9120879120879121,8.333333333333334,0.4570666666666667,0.6666666666666666,0.05678432120487459,0.0,0.2948286239084698,0.14068033597916468,6,governed,governed-R0.70
17,0.3,0.18582417582417582,0.7416666666666667,1.0,0.8351648351648351,9.233333333333333,0.4963898916967509,0.6666666666666666,0.058160808591529944,0.16666666666666666,0.29544918903945333,0.14206147328666824,6,governed,governed-R0.70
18,0.3333333333333333,0.2257326007326007,0.7083333333333333,1.0,0.9560439560439561,10.6,0.36436058700209645,0.8333333333333334,0.06529341841046389,0.0,0.29999528635471895,0.15610738333373592,6,governed,governed-R0.70
19,0.4,0.2335164835164835,0.7083333333333333,1.0,0.8241758241758241,10.366666666666667,0.4569131832797428,0.8333333333333334,0.06529341841046389,0.0,0.31199585199215274,0.15451973785618917,6,governed,governed-R0.70
20,0.4666666666666667,0.22820512820512825,0.7416666666666667,1.0,0.6593406593406594,12.1,0.3808080808080808,0.6666666666666666,0.0495296840469022,0.16666666666666666,0.3305563497530944,0.16007872524278594,6,governed,governed-R0.70
21,0.3333333333333333,0.1758852258852259,0.7166666666666667,1.0,0.7362637362637363,10.633333333333333,0.3821316614420063,0.6666666666666666,0.06011695089100791,0.3333333333333333,0.33088958778272315,0.17769393833290287,6,governed,governed-R0.70
22,0.23333333333333334,0.12551282051282053,0.7416666666666667,1.0,0.7252747252747254,10.266666666666667,0.3945887445887446,0.6666666666666666,0.0495296840469022,0.16666666666666666,0.31918283724879626,0.16648422693420495,6,governed,governed-R0.70
23,0.2,0.10384615384615387,0.75,1.0,0.6923076923076923,7.4,0.5582582582582583,0.5,0.042051751120339396,0.5,0.30488089677894076,0.16256052670679175,6,governed,governed-R0.70
24,0.3,0.1937362637362637,0.7166666666666667,1.0,0.901098901098901,9.333333333333334,0.42142857142857143,0.6666666666666666,0.045384380806472724,0.3333333333333333,0.30429518916546794,0.16382294165921002,6,governed,governed-R0.70
25,0.4,0.2963736263736264,0.7749999999999999,1.0,0.9560439560439561,10.933333333333334,0.38943089430894307,0.5,0.038018095764205125,0.3333333333333333,0.3157797664656117,0.16828099397206922,6,governed,governed-R0.70
26,0.23333333333333334,0.15023504273504276,0.7416666666666667,1.0,0.8681318681318682,8.9,0.45555555555555555,0.6666666666666666,0.05712964431250344,0.16666666666666666,0.30588619448973825,0.15853989105624322,6,governed,governed-R0.70
27,0.3,0.1295879120879121,0.7416666666666667,1.0,0.5824175824175825,10.7,0.31557632398753893,0.6666666666666666,0.04918436093927334,0.16666666666666666,0.30517985115096974,0.1627590818359942,6,governed,governed-R0.70
28,0.3,0.1295879120879121,0.7416666666666667,1.0,0.5824175824175825,11.733333333333333,0.2725378787878788,0.6666666666666666,0.04976335927023584,0.16666666666666666,0.30455826901285327,0.17099652968069096,6,governed,governed-R0.70
29,0.3,0.20049450549450548,0.7416666666666667,1.0,0.901098901098901,9.6,0.4599537037037037,0.6666666666666666,0.04976335927023584,0.16666666666666666,0.30401127673131095,0.17887306278626602,6,governed,governed-R0.70
30,0.23333333333333334,0.16925213675213677,0.7416666666666667,1.0,0.978021978021978,9.266666666666667,0.4503597122302158,0.6666666666666666,0.04976335927023584,0.16666666666666666,0.2955299235235536,0.16898541752353557,6,governed,governed-R0.70
31,0.3,0.20950549450549444,0.7749999999999999,1.0,0.901098901098901,9.666666666666666,0.4367816091954023,0.5,0.046197054360768874,0.3333333333333333,0.29606633270072724,0.15041196424937256,6,governed,governed-R0.70
32,0.23333333333333334,0.15023504273504276,0.7416666666666667,1.0,0.8681318681318682,9.633333333333333,0.43333333333333335,0.6666666666666666,0.0495296840469022,0.16666666666666666,0.28853837277663996,0.15999173922577847,6,governed,governed-R0.70
33,0.3333333333333333,0.19587912087912085,0.7749999999999999,1.0,0.7582417582417582,9.666666666666666,0.5052873563218391,0.5,0.046197054360768874,0.3333333333333333,0.2939137680434431,0.14971015914435062,6,governed,governed-R0.70
34,0.26666666666666666,0.13860805860805864,0.7166666666666667,1.0,0.7252747252747254,10.366666666666667,0.37009646302250804,0.6666666666666666,0.04596337913743523,0.3333333333333333,0.2906441158782299,0.14865430587833978,6,governed,governed-R0.70
35,0.2,0.10879120879120882,0.75,1.0,0.7252747252747254,8.733333333333333,0.38727735368956745,0.5,0.04572970391410158,0.5,0.27976682197284236,0.14709569635924696,6,governed,governed-R0.70
36,0.23333333333333334,0.10192307692307692,0.75,1.0,0.5824175824175825,10.633333333333333,0.25715778474399165,0.5,0.041584400673672105,0.5,0.2741948033361013,0.143256188355388,6,governed,governed-R0.70
37,0.13333333333333333,0.07912087912087913,0.75,1.0,0.7912087912087913,8.066666666666666,0.39201101928374654,0.5,0.038018095764205125,0.5,0.2572914269357691,0.13240932990366017,6,governed,governed-R0.70
38,0.26666666666666666,0.1564835164835165,0.7416666666666667,1.0,0.7912087912087913,9.133333333333333,0.40851581508515816,0.6666666666666666,0.04181807589700575,0.16666666666666666,0.2584164557034768,0.1271918846250788,6,governed,governed-R0.70
39,0.3,0.22005494505494502,0.75,1.0,0.978021978021978,9.6,0.43425925925925923,0.5,0.041584400673672105,0.5,0.2634064810190596,0.13833027625728753,6,governed,governed-R0.70
40,0.2,0.1598901098901099,0.8083333333333333,1.0,0.989010989010989,8.1,0.4525377229080933,0.3333333333333333,0.02500318771195419,0.5,0.2557977032967725,0.14902779875532957,6,governed,governed-R0.70
41,0.23333333333333334,0.16538461538461538,0.7166666666666667,1.0,0.989010989010989,8.5,0.47568627450980394,0.6666666666666666,0.0495296840469022,0.3333333333333333,0.25310197890115976,0.13945074559974563,6,governed,governed-R0.70
42,0.3,0.18651098901098898,0.7749999999999999,1.0,0.8021978021978022,10.6,0.3767295597484277,0.5,0.028803167844754812,0.3333333333333333,0.2587297414330206,0.1331324622037932,6,governed,governed-R0.70
43,0.26666666666666666,0.18691086691086692,0.7166666666666667,1.0,0.978021978021978,9.133333333333333,0.4194647201946472,0.6666666666666666,0.0532180162954076,0.3333333333333333,0.2596821724610581,0.1205841218611873,6,governed,governed-R0.70
44,0.4,0.2963736263736264,0.7749999999999999,1.0,0.9560439560439561,11.666666666666666,0.3598095238095238,0.5,0.052862313733035536,0.3333333333333333,0.27652031176573116,0.12336125853108951,6,governed,governed-R0.70
45,0.5333333333333333,0.2912332112332113,0.7416666666666667,1.0,0.7362637362637363,11.466666666666667,0.5257751937984496,0.6666666666666666,0.06046227399863677,0.16666666666666666,0.3073378743538433,0.11961284818862628,6,governed,governed-R0.70
46,0.3,0.15164835164835166,0.7666666666666667,1.0,0.6593406593406594,10.333333333333334,0.3610752688172043,0.6666666666666666,0.0642622541314374,0.0,0.3064573294313822,0.12305376277954942,6,governed,governed-R0.70
47,0.36666666666666664,0.21815323565323566,0.7416666666666667,1.0,0.8021978021978022,10.666666666666666,0.45208333333333334,0.6666666666666666,0.05332966417970283,0.16666666666666666,0.3136824498996163,0.11861518030930457,6,governed,governed-R0.70
48,0.26666666666666666,0.1659096459096459,0.7166666666666667,1.0,0.8681318681318682,9.6,0.38287037037037036,0.6666666666666666,0.045384380806472724,0.3333333333333333,0.30804055591166235,0.12467711510548515,6,governed,governed-R0.70
49,0.4666666666666667,0.3115384615384615,0.75,1.0,0.8901098901098901,11.233333333333333,0.451730959446093,0.5,0.04515070558313908,0.5,0.3270756892022629,0.1437791226109134,6,governed,governed-R0.70
