idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.5440023840639256,0.16523043821886543,1238.0,50,0,7,12
1,idealist,0.5625676793709686,0.1,0.841084707458682,0.4419771027327824,279.0,0,0,18,4
2,skeptic,0.15734472170192454,-0.12,0.7046730739706522,0.12795555812444592,291.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.5025636111484626,0.5048012103325787,644.0,50,30,16,8
4,strategist,0.4474798263743567,-0.05,0.5720434108639629,0.059477212755387546,1162.0,50,4,9,13
5,opportunist,0.5819096962294243,-0.15,0.9,0.12961199676242302,1522.0,50,0,7,15
6,pragmatist,0.4599046046341824,0.0,0.8690861810452049,0.5669521024697468,905.0,50,0,14,11
7,idealist,0.5201264013378069,0.1,0.5711061305675142,0.3457584868807807,820.0,50,45,20,11
8,skeptic,0.5053126176123748,-0.12,0.75616760987565,0.2796613657720925,462.0,0,0,7,5
9,conformist,0.5817675451960909,0.0,0.542511113352062,0.21230358270809577,333.0,0,0,10,4
10,strategist,0.4222706454682109,-0.05,0.5978605683394087,0.4418007620164272,624.0,0,0,10,7
11,opportunist,0.6333812008011046,-0.15,0.7768205776896796,0.41755777115250087,235.0,0,0,16,3
12,pragmatist,0.38575082667553395,0.0,0.6471799674267655,0.44839740351677415,567.0,0,0,10,6
13,idealist,0.5298463778330023,0.1,0.7548166096546117,0.44603734633912,229.0,0,0,19,3
14,skeptic,0.5119098917393983,-0.12,0.9,0.39521595002452325,560.0,0,0,8,6
15,conformist,0.7712471401305692,0.0,0.48903774754230755,0.46684366955096734,248.0,0,0,18,3
16,strategist,0.3731635906392694,-0.05,0.5779340907628183,0.2877706775545587,427.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.9,0.12838182958390326,269.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.5739765284556207,0.3423092082323683,253.0,0,0,13,3
19,idealist,0.3263278176463141,0.1,0.7975889181737051,0.34055219661682196,334.0,0,0,9,3
20,skeptic,0.5614881256805163,-0.12,0.9,0.2901272388195042,362.0,0,0,12,4
21,conformist,0.35017354390669586,0.0,0.5848241984600079,0.08084195293384583,311.0,0,0,6,3
22,strategist,0.46750287137110924,-0.05,0.7328032895093519,0.2508708135433282,352.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.8335393323162023,0.2557438613376282,272.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.7101368604233337,0.36966745695816794,267.0,0,0,9,3
25,idealist,0.49336790980349765,0.1,0.7946932338757811,0.6036080084660762,303.0,0,0,17,4
26,skeptic,0.23142662702165004,-0.12,0.8520493175464048,0.13402712296491534,450.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.4541683227634986,0.3836243030972672,283.0,0,0,9,3
28,strategist,0.40872866231599747,-0.05,0.9,0.26234400521118545,234.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.9,0.13615205697797259,294.0,0,0,4,3
