idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.11992518256345704,1266.0,50,0,5,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,272.0,0,0,18,4
2,skeptic,0.15734472170192454,-0.12,0.3046730739706523,0.12795555812444592,267.0,0,0,2,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.6165571819916116,588.0,50,27,20,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.05587426565461048,1170.0,50,4,8,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.12961199676242302,1502.0,50,0,7,15
6,pragmatist,0.4599046046341824,0.0,0.46908618104520494,0.46707445245129997,941.0,50,0,11,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.40182223916632287,769.0,50,44,22,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2796613657720925,451.0,0,0,7,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21230358270809577,335.0,0,0,9,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.4418007620164272,620.0,0,0,10,7
11,opportunist,0.6333812008011046,-0.15,0.3768205776896797,0.40825023591591814,221.0,0,0,15,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676557,0.44839740351677415,555.0,0,0,10,6
13,idealist,0.5298463778330023,0.1,0.35481660965461176,0.4411254629280346,230.0,0,0,16,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.39521595002452325,582.0,0,0,7,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.46684366955096734,255.0,0,0,17,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281835,0.2877706775545587,423.0,0,0,6,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.12838182958390326,269.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.3423092082323683,260.0,0,0,13,3
19,idealist,0.3263278176463141,0.1,0.3975889181737051,0.34055219661682196,356.0,0,0,8,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.2901272388195042,365.0,0,0,12,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.06882292499404373,311.0,0,0,6,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,352.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,272.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.36966745695816794,257.0,0,0,10,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6036080084660762,299.0,0,0,17,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,438.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.05416832276349873,0.37592773255922013,298.0,0,0,8,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.26234400521118545,224.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.10076897170881183,305.0,0,0,3,3
